,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
2735,sz.002119,康强电子,0.06,473833242.54,71.5746704913,0.7486,22717801.1,100.07,39.31,2.648444706969,2.31,-0.087068566579,17.9949670865,电子元件,2021-04-28
2736,sz.002106,莱宝高科,0.2276,1900309499.22,73.9322685758,-10.8013,160662901.23,139.74,31.5031,6.486593187127,3.57,0.108410866011,16.4113070065,电子元件,2021-04-28
2737,sz.002105,信隆健康,0.163,585539472.88,149.4193636369,8.3247,59397700.22,1014.12,13.3843,1.936316065292,8.69,-0.043340906513,20.4490987928,文教休闲,2021-04-28
2738,sz.002096,南岭民爆,-0.048,405572094.49,11.2931078735,-24.1864,-17812246.82,48.38,-56.1979,5.429221885388,-0.88,-0.171959888092,27.9481139605,化工行业,2021-04-28
2739,sz.002091,江苏国泰,0.11,6264600113.61,4.302465988,-30.1067,166096906.75,1.6,-56.7922,6.009191547277,1.78,-0.831879946746,13.3854352445,国际贸易,2021-04-28
2740,sz.002090,金智科技,0.0738,354571411.52,19.5229910466,-59.2475,29733282.68,288.52,-15.4586,3.247247081206,2.21,-0.100411722698,23.8369907849,电子信息,2021-04-28
2741,sz.002077,大港股份,0.01,128395102.62,-38.3771135476,-60.9983,7086768.55,38.71,188.4969,5.137142054433,0.24,0.086588390914,32.1545759437,综合行业,2021-04-28
2742,sz.002076,ST雪莱,-0.02,45175835.82,8.2470730345,-59.81,-16028162.44,3.52,-123.2421,0.038467317814,-126.26,-0.004861921672,35.3602950782,电子元件,2021-04-28
2743,sz.002073,软控股份,0.0071,598470524.71,33.7884572169,-48.6131,6616213.9,117.59,-91.0121,4.580376672526,0.15,0.033095785701,20.8681332302,专用设备,2021-04-28
2744,sz.002072,*ST凯瑞,-0.0106,7846812.41,11.3830954557,41.4787,-1869122.75,-183.76,99.0955,-1.027108656648,-1.04,-0.135966353352,97.0544462143,软件服务,2021-04-28
2745,sz.002062,宏润建设,0.1,2548295795.81,7.8071640602,-38.9028,106013439.11,10.67,-36.9751,3.338525429424,2.92,-0.059202019465,10.4809589491,工程建设,2021-04-28
2746,sz.002060,粤水电,0.041,3488311560.54,14.0608140625,-12.2976,49349707.68,36.77,-44.3492,2.846797342206,1.33,-0.696274208455,8.4039080046,工程建设,2021-04-28
2747,sz.002059,云南旅游,0.004,227188200.39,5.2446428579,-78.9111,4018082.13,-114.79,-97.8939,2.404155128593,0.17,0.461485327708,28.01246188,旅游酒店,2021-04-28
2748,sz.002048,宁波华翔,0.38,4334719244.97,58.1781479512,-21.0157,238504017.25,196.56,-1.1781,16.900669054911,2.03,0.569655067856,18.640615165,汽车行业,2021-04-28
2749,sz.002047,宝鹰股份,0.01,982286207.66,5.9448283952,-41.284,19889056.21,14.93,154.6288,3.136952982531,0.47,0.157941995842,16.811272556,装修装饰,2021-04-28
2750,sz.002042,华孚时尚,0.09,3844540972.24,66.7153024598,-31.012,131213682.07,-531.03,165.4339,3.803232230737,2.27,0.599749079601,7.572113213,化纤行业,2021-04-28
2751,sz.002035,华帝股份,0.089,1051963214.92,52.169002632,-24.1884,77383480.73,66.97,-42.8674,3.725858765047,2.42,-0.062133260908,42.0836979051,家电行业,2021-04-28
2752,sz.002025,航天电器,0.28,1118948198.8,47.2229793339,-7.9948,118872813.77,62.9,-5.8076,8.218627062611,3.43,-0.77129043648,35.2631791787,电子元件,2021-04-28
