,股票代码,股票名称,所属地域,行业,业绩预告发布日期,业绩预告统计日期,业绩预告类型,业绩预告摘要,预告归属于母公司的净利润增长上限(%),预告归属于母公司的净利润增长下限(%)
4434,sz.300045,华力创通,北京,IT设备,2020/6/23,2020/6/30,预增,"预计2020年1-6月归属于上市公司股东的净利润盈利:3,019.07万元至3,421.61万元,同比上年增长:50%至70%。",70,50
4435,sz.300045,华力创通,北京,IT设备,2021/1/28,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:2,700万元至3,500万元。",123.720814,118.298914
4436,sz.300046,台基股份,湖北,半导体,2020/1/17,2019/12/31,首亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:21,050万元至21,550万元。",-345.418848,-351.248275
4437,sz.300046,台基股份,湖北,半导体,2020/4/9,2020/3/31,首亏,预计2020年1-3月归属于上市公司股东的净利润亏损:0万元至100万元。,-100,-104.343941
4438,sz.300046,台基股份,湖北,半导体,2021/1/25,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:2,600万元至3,900万元。",117.724943,111.816628
4439,sz.300047,天源迪科,深圳,软件服务,2020/1/22,2019/12/31,略减,"预计2019年1-12月归属于上市公司股东的净利润盈利:10,777万元至12,932万元,同比上年下降:40%至50%。",-40,-50
4440,sz.300047,天源迪科,深圳,软件服务,2020/4/10,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:385.92万元至643.2万元,同比上年下降:50%至70%。",-50,-70
4441,sz.300047,天源迪科,深圳,软件服务,2020/7/14,2020/6/30,略增,"预计2020年1-6月归属于上市公司股东的净利润盈利:5,376.85万元至6,272.99万元,同比上年增长:20%至40%。",40,20
4442,sz.300048,合康新能,北京,电气设备,2020/1/23,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:2,200万元至2,700万元。",111.387748,109.278906
4443,sz.300048,合康新能,北京,电气设备,2020/4/10,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:800万元至1,300万元。",-137.777099,-161.387787
4444,sz.300048,合康新能,北京,电气设备,2020/10/24,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:48,000万元至65,000万元,同比上年下降:2174.18%至2908.78%。",-2174.18,-2908.78
4445,sz.300048,合康新能,北京,电气设备,2021/1/29,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:50,000万元至60,000万元。",-2260.601341,-2692.721609
4446,sz.300048,合康新能,北京,电气设备,2021/2/2,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:50,000万元至60,000万元。",-2260.601341,-2692.721609
4447,sz.300049,福瑞股份,内蒙,医疗保健,2020/1/18,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:3,895.77万元至4,604.09万元,同比上年增长:10%至30%。",30,10
