,股票代码,股票名称,所属地域,行业,业绩预告发布日期,业绩预告统计日期,业绩预告类型,业绩预告摘要,预告归属于母公司的净利润增长上限(%),预告归属于母公司的净利润增长下限(%)
0,sz.000004,国华网安,深圳,互联网,2020/1/18,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:250万元至500万元,同比上年增长:112.33%至124.67%。",124.67,112.33
1,sz.000004,国华网安,深圳,互联网,2020/7/15,2020/6/30,扭亏,预计2020年1-6月归属于上市公司股东的净利润盈利:180万元至260万元。,235.49962,193.807429
2,sz.000004,国华网安,深圳,互联网,2020/10/15,2020/9/30,扭亏,"预计2020年1-9月归属于上市公司股东的净利润盈利:5,200万元至6,200万元。",723.670644,623.078605
3,sz.000004,国华网安,深圳,互联网,2021/1/30,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:7,500万元至11,000万元,同比上年增长:2319.82%至3449.07%。",3449.07,2319.82
4,sz.000005,世纪星源,深圳,环境保护,2020/1/21,2019/12/31,预减,"预计2019年1-12月归属于上市公司股东的净利润盈利:3,500万元至5,000万元,同比上年下降:66.4%至76.48%。",-66.4,-76.48
5,sz.000005,世纪星源,深圳,环境保护,2020/4/18,2020/3/31,增亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:2,000万元至3,000万元,同比上年下降:12.67%至69%。",-12.67,-69
6,sz.000005,世纪星源,深圳,环境保护,2020/7/14,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:3,000万元至4,000万元,同比上年下降:148.2%至164.27%。",-148.2,-164.27
7,sz.000005,世纪星源,深圳,环境保护,2020/10/14,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:1,500万元至2,500万元,同比上年下降:133.67%至156.12%。",-133.67,-156.12
8,sz.000005,世纪星源,深圳,环境保护,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:24,000万元至44,000万元,同比上年下降:237.39%至351.88%。",-237.39,-351.88
9,sz.000007,全新好,深圳,酒店餐饮,2020/1/17,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:2,400万元至3,600万元。",118.347495,112.231663
10,sz.000007,全新好,深圳,酒店餐饮,2020/1/31,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:2,100万元至3,100万元。",115.799232,110.702706
11,sz.000007,全新好,深圳,酒店餐饮,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:1,800万元至2,700万元,同比上年下降:302.52%至403.77%。",-302.52,-403.77
12,sz.000007,全新好,深圳,酒店餐饮,2020/7/15,2020/6/30,增亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:3,000万元至4,500万元,同比上年下降:630.8%至996.2%。",-630.8,-996.2
13,sz.000007,全新好,深圳,酒店餐饮,2020/10/15,2020/9/30,增亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:4,350万元至5,000万元。",-367.237455,-437.054546
14,sz.000007,全新好,深圳,酒店餐饮,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:5,600万元至8,400万元,同比上年下降:351.26%至476.89%。",-351.26,-476.89
15,sz.000008,神州高铁,北京,运输设备,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:8,000万元至11,000万元。",-781.415578,-1036.94642
16,sz.000008,神州高铁,北京,运输设备,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:24,000万元至30,000万元。",-462.465464,-553.08183
17,sz.000008,神州高铁,北京,运输设备,2020/10/15,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:23,600万元至24,600万元。",-258.99876,-265.735996
18,sz.000008,神州高铁,北京,运输设备,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:70,000万元至95,000万元。",-261.149105,-318.702357
19,sz.000009,中国宝安,深圳,综合类,2020/1/18,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:28,000万元至34,000万元,同比上年增长:30.98%至59.04%。",59.04,30.98
20,sz.000009,中国宝安,深圳,综合类,2020/10/9,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:48,000万元至55,000万元,同比上年增长:139.18%至174.06%。",174.06,139.18
21,sz.000009,中国宝安,深圳,综合类,2021/1/22,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:65,000万元至78,000万元,同比上年增长:115.85%至159.02%。",159.02,115.85
22,sz.000010,美丽生态,深圳,建筑工程,2020/1/21,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:4,800万元至7,200万元。",109.842782,106.561855
23,sz.000010,美丽生态,深圳,建筑工程,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:800万元至1,200万元。",-377.632534,-516.4488
24,sz.000010,美丽生态,深圳,建筑工程,2021/1/30,2020/12/31,略减,"预计2020年1-12月归属于上市公司股东的净利润盈利:2,730万元至4,050万元,同比上年下降:12.86%至41.26%。",-12.86,-41.26
25,sz.000011,深物业A,深圳,区域地产,2020/4/10,2020/3/31,预增,"预计2020年1-3月归属于上市公司股东的净利润盈利:15,200万元,同比上年增长:59.54%。",59.54,59.54
26,sz.000014,沙河股份,深圳,全国地产,2020/1/23,2019/12/31,预减,"预计2019年1-12月归属于上市公司股东的净利润盈利:1,900万元至2,300万元,同比上年下降:84.25%至86.99%。",-84.25,-86.99
27,sz.000014,沙河股份,深圳,全国地产,2020/4/11,2020/3/31,扭亏,预计2020年1-3月归属于上市公司股东的净利润盈利:700万元至800万元。,218.326118,203.535353
28,sz.000014,沙河股份,深圳,全国地产,2020/7/15,2020/6/30,扭亏,"预计2020年1-6月归属于上市公司股东的净利润盈利:2,200万元至2,400万元。",728.366294,676.002436
29,sz.000014,沙河股份,深圳,全国地产,2020/10/13,2020/9/30,扭亏,"预计2020年1-9月归属于上市公司股东的净利润盈利:1,300万元至1,500万元。",233.610429,215.795706
30,sz.000014,沙河股份,深圳,全国地产,2021/1/23,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:300万元至380万元,同比上年下降:81.97%至85.77%。",-81.97,-85.77
31,sz.000014,沙河股份,深圳,全国地产,2021/1/30,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:300万元至380万元,同比上年下降:81.97%至85.77%。",-81.97,-85.77
32,sz.000016,深康佳A,深圳,家用电器,2020/2/7,2019/12/31,略减,"预计2019年1-12月归属于上市公司股东的净利润盈利:21,000万元-29,000万元,同比下降29.49%-48.94%。",-29.49,-48.94
33,sz.000016,深康佳A,深圳,家用电器,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:22,000万元至24,000万元。",-357.109305,-380.482878
34,sz.000016,深康佳A,深圳,家用电器,2020/7/15,2020/6/30,预减,"预计2020年1-6月归属于上市公司股东的净利润盈利:9,000万元至11,000万元,同比上年下降:68.82%至74.49%。",-68.82,-74.49
35,sz.000016,深康佳A,深圳,家用电器,2021/1/30,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:42,000万元至54,000万元,同比上年增长:98.08%至154.68%。",154.68,98.08
36,sz.000017,*ST中华A,深圳,文教休闲,2020/1/23,2019/12/31,增亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:600万元至900万元,同比上年下降:276.88%至465.33%。",-276.88,-465.33
37,sz.000017,*ST中华A,深圳,文教休闲,2020/4/15,2020/3/31,增亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:40万元至60万元,同比上年下降:9.06%至63.58%。",-9.06,-63.58
38,sz.000017,*ST中华A,深圳,文教休闲,2020/7/13,2020/6/30,扭亏,预计2020年1-6月归属于上市公司股东的净利润盈利:200万元至300万元。,475.494634,350.329756
39,sz.000017,*ST中华A,深圳,文教休闲,2020/10/15,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:约450万元至600万元,同比上年增长:约1765.67%至2387.56%。",2387.56,1765.67
40,sz.000017,*ST中华A,深圳,文教休闲,2021/1/30,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:700万元至1,050万元。",246.099038,197.399359
41,sz.000020,深华发A,深圳,元器件,2020/4/14,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:1万元至100万元,同比上年下降:103.87%至487.3%。",-103.87,-487.3
42,sz.000021,深科技,深圳,IT设备,2020/10/15,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:40,863.23万元至54,484.3万元,同比上年增长:50%至100%。",100,50
43,sz.000021,深科技,深圳,IT设备,2021/1/29,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:82,000万元至94,000万元,同比上年增长:132.76%至166.82%。",166.82,132.76
44,sz.000023,深天地A,深圳,其他建材,2020/1/21,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:4,900万元至6,100万元,同比上年增长:86%至132%。",132,86
45,sz.000023,深天地A,深圳,其他建材,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:950万元至1,300万元,同比上年下降:164%至187%。",-164,-187
46,sz.000023,深天地A,深圳,其他建材,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:1,200万元至1,700万元,同比上年下降:139%至155%。",-139,-155
47,sz.000023,深天地A,深圳,其他建材,2020/10/15,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:300万元至450万元,同比上年下降:106%至108%。",-106,-108
48,sz.000023,深天地A,深圳,其他建材,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:650万元至1,300万元,同比上年下降:112.79%至125.58%。",-112.79,-125.58
49,sz.000025,特力A,深圳,汽车服务,2020/1/18,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:约18,000万元至25,000万元,同比上年增长:约107.09%至187.62%。",187.62,107.09
50,sz.000025,特力A,深圳,汽车服务,2020/4/15,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:约370万元至550万元,同比上年下降:69.48%至79.47%。",-69.48,-79.47
51,sz.000025,特力A,深圳,汽车服务,2020/7/14,2020/6/30,略减,"预计2020年1-6月归属于上市公司股东的净利润盈利:2,300万元至3,200万元,同比上年下降:28.86%至48.87%。",-28.86,-48.87
52,sz.000025,特力A,深圳,汽车服务,2021/1/28,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:5,400万元至7,000万元,同比上年下降:68.13%至75.42%。",-68.13,-75.42
53,sz.000027,深圳能源,深圳,火力发电,2020/1/15,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:135,000万元至185,000万元,同比上年增长:95%至168%。",168,95
54,sz.000027,深圳能源,深圳,火力发电,2020/4/30,2020/6/30,预增,"预计2020年1-6月归属于上市公司股东的净利润盈利:230,000万元-290,000万元,同比增长122.82%-180.94%。",180.94,122.82
55,sz.000027,深圳能源,深圳,火力发电,2020/7/15,2020/6/30,预增,"预计2020年1-6月归属于上市公司股东的净利润盈利:250,000万元至310,000万元,同比上年增长:142%至200%。",200,142
56,sz.000027,深圳能源,深圳,火力发电,2020/8/26,2020/9/30,,,0,0
57,sz.000027,深圳能源,深圳,火力发电,2020/10/15,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:366,000万元至406,000万元,同比上年增长:113.68%至137.04%。",137.04,113.68
58,sz.000027,深圳能源,深圳,火力发电,2021/1/25,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:370,000万元至420,000万元,同比上年增长:117.49%至146.88%。",146.88,117.49
59,sz.000029,深深房A,深圳,区域地产,2020/4/11,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,800万元至3,600万元,同比上年下降:57.16%至66.68%。",-57.16,-66.68
60,sz.000029,深深房A,深圳,区域地产,2020/4/30,2020/6/30,预减,"预计2020年1-6月归属于上市公司股东的净利润盈利:8,000万元-12,000万元,同比上年下降:63.98%-75.99%。",-63.98,-75.99
61,sz.000029,深深房A,深圳,区域地产,2020/8/19,2020/9/30,,,0,0
62,sz.000029,深深房A,深圳,区域地产,2020/10/30,2020/12/31,略减,"预计2020年1-12月净利润盈利:26,000万元至30,000万元,同比上年下降:40.42%至48.36%。",-40.42,-48.36
63,sz.000031,大悦城,深圳,全国地产,2020/1/20,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:约235,000万元至255,000万元,同比上年增长:14%至24%。",24,14
64,sz.000031,大悦城,深圳,全国地产,2020/7/11,2020/6/30,预减,"预计2020年1-6月归属于上市公司股东的净利润盈利:45,000万元至65,000万元,同比上年下降:65%至76%。",-65,-76
65,sz.000031,大悦城,深圳,全国地产,2020/10/15,2020/9/30,预减,"预计2020年1-9月归属于上市公司股东的净利润盈利:约68,000万元至80,000万元,同比上年下降:约66%至71%。",-66,-71
66,sz.000035,中国天楹,江苏,环境保护,2020/1/16,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:69,000万元至73,000万元。",237.194129,218.717739
67,sz.000037,深南电A,深圳,火力发电,2020/4/11,2020/3/31,减亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:1,400万元,同比上年增长:50.66%。",50.66,50.66
68,sz.000037,深南电A,深圳,火力发电,2020/7/11,2020/6/30,扭亏,"预计2020年1-6月归属于上市公司股东的净利润盈利:5,200万元。",305.670243,305.670243
69,sz.000037,深南电A,深圳,火力发电,2020/10/13,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:约12,800万元,同比上年增长:约1401.73%。",1401.73,1401.73
70,sz.000037,深南电A,深圳,火力发电,2021/1/21,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:约6,400万元,同比上年增长:约157.02%。",157.02,157.02
71,sz.000038,深大通,深圳,广告包装,2020/1/23,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:12,000万元。",104.706679,104.706679
72,sz.000038,深大通,深圳,广告包装,2020/7/15,2020/6/30,预增,"预计2020年1-6月归属于上市公司股东的净利润盈利:7,300万元,同比上年增长:569%。",569,569
73,sz.000038,深大通,深圳,广告包装,2020/10/15,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:9,500万元,同比上年增长:3167.86%。",3167.86,3167.86
74,sz.000039,中集集团,深圳,轻工机械,2020/1/23,2019/12/31,预减,"预计2019年1-12月归属于上市公司股东的净利润盈利:130,000万元至180,000万元,同比上年下降:47%至62%。",-47,-62
75,sz.000039,中集集团,深圳,轻工机械,2020/4/16,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:60,000万元至80,000万元。",-247.899458,-297.199277
76,sz.000039,中集集团,深圳,轻工机械,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:15,000万元至30,000万元。",-122.064372,-144.128744
77,sz.000039,中集集团,深圳,轻工机械,2021/1/30,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:500,000万元至570,000万元,同比上年增长:224%至270%。",270,224
78,sz.000040,东旭蓝天,深圳,新型电力,2020/1/23,2019/12/31,首亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:50,000万元至80,000万元,同比上年下降:144.73%至171.57%。",-144.73,-171.57
79,sz.000040,东旭蓝天,深圳,新型电力,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:4,500万元至5,800万元,同比上年下降:141.32%至211.04%。",-141.32,-211.04
80,sz.000040,东旭蓝天,深圳,新型电力,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:23,000万元至29,000万元,同比上年下降:348.09%至412.81%。",-348.09,-412.81
81,sz.000040,东旭蓝天,深圳,新型电力,2020/10/15,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:18,000万元至23,000万元,同比上年下降:344.33%至412.21%。",-344.33,-412.21
82,sz.000040,东旭蓝天,深圳,新型电力,2021/1/30,2020/12/31,减亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:63,000万元至88,000万元,同比上年增长:8.06%至34.18%。",34.18,8.06
83,sz.000042,中洲控股,深圳,全国地产,2020/1/21,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:68,591.65万元至88,692.71万元,同比上年增长:53.56%至98.56%。",98.56,53.56
84,sz.000042,中洲控股,深圳,全国地产,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:4,967.37万元至9,934.74万元,同比上年下降:121.42%至142.84%。",-121.42,-142.84
85,sz.000042,中洲控股,深圳,全国地产,2020/10/15,2020/9/30,预减,"预计2020年1-9月归属于上市公司股东的净利润盈利:7,378.27万元至11,067.4万元,同比上年下降:88.05%至92.03%。",-88.05,-92.03
86,sz.000042,中洲控股,深圳,全国地产,2021/1/27,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:20,090.08万元至30,135.12万元,同比上年下降:61.72%至74.48%。",-61.72,-74.48
87,sz.000045,深纺织A,深圳,元器件,2020/1/17,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:1,569万元至2,349万元,同比上年增长:168.27%至202.22%。",202.22,168.27
88,sz.000045,深纺织A,深圳,元器件,2020/4/11,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:400万元至800万元,同比上年下降:138.53%至177.06%。",-138.53,-177.06
89,sz.000045,深纺织A,深圳,元器件,2020/7/9,2020/6/30,预减,"预计2020年1-6月归属于上市公司股东的净利润盈利:69万元至103万元,同比上年下降:86.85%至91.19%。",-86.85,-91.19
90,sz.000045,深纺织A,深圳,元器件,2020/10/14,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:2,200万元至2,800万元,同比上年增长:30.25%至65.78%。",65.78,30.25
91,sz.000045,深纺织A,深圳,元器件,2021/1/21,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:3,000万元至4,400万元,同比上年增长:52.44%至123.58%。",123.58,52.44
92,sz.000046,泛海控股,北京,多元金融,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:8,000万元至15,000万元。",-103.83731,-107.194956
93,sz.000046,泛海控股,北京,多元金融,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:30,000万元至60,000万元,同比上年下降:117.27%至134.53%。",-117.27,-134.53
94,sz.000046,泛海控股,北京,多元金融,2020/10/15,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:53,000万元至75,000万元,同比上年下降:121.25%至130.08%。",-121.25,-130.08
95,sz.000046,泛海控股,北京,多元金融,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:300,000万元至400,000万元。",-374.010268,-465.347023
96,sz.000048,京基智农,深圳,饲料,2020/1/14,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:95,000万元至120,000万元,同比上年增长:117.19%至174.35%。",174.35,117.19
97,sz.000049,德赛电池,深圳,电气设备,2020/1/16,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:47,000万元至52,000万元,同比上年增长:17.1%至29.56%。",29.56,17.1
98,sz.000049,德赛电池,深圳,电气设备,2020/7/14,2020/6/30,续盈,"预计2020年1-6月归属于上市公司股东的净利润盈利:16,200万元至17,900万元,同比上年变动:-5%至5%。",5,-5
99,sz.000049,德赛电池,深圳,电气设备,2021/1/22,2020/12/31,略增,"预计2020年1-12月归属于上市公司股东的净利润盈利:63,000万元至69,000万元,同比上年增长:25.45%至37.4%。",37.4,25.45
100,sz.000049,德赛电池,深圳,电气设备,2021/1/28,2020/12/31,略增,"预计2020年1-12月归属于上市公司股东的净利润盈利:63,000万元至69,000万元,同比上年增长:25.45%至37.4%。",37.4,25.45
101,sz.000050,深天马A,深圳,元器件,2021/1/14,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:145,000万元至165,000万元,同比上年增长:74.83%至98.95%。",98.95,74.83
102,sz.000055,方大集团,深圳,其他建材,2020/9/22,2020/9/30,略增,"预计2020年1-9月归属于上市公司股东的净利润盈利:20,286.5万元至23,407.5万元,同比上年增长:30%至50%。",50,30
103,sz.000056,皇庭国际,深圳,房产服务,2020/4/15,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:250万元至350万元,同比上年下降:92.59%至94.71%。",-92.59,-94.71
104,sz.000056,皇庭国际,深圳,房产服务,2020/7/15,2020/6/30,预减,"预计2020年1-6月归属于上市公司股东的净利润盈利:1,000万元至1,500万元,同比上年下降:83.35%至88.9%。",-83.35,-88.9
105,sz.000056,皇庭国际,深圳,房产服务,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:20,000万元至30,000万元。",-495.248551,-692.872826
106,sz.000058,深赛格,深圳,元器件,2020/1/10,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:6,500万元,同比上年增长:133.37%。",133.37,133.37
107,sz.000058,深赛格,深圳,元器件,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:1,000万元,同比上年下降:116.64%。",-116.64,-116.64
108,sz.000058,深赛格,深圳,元器件,2021/1/29,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:2,000万元,同比上年下降:74.51%。",-74.51,-74.51
109,sz.000059,华锦股份,辽宁,石油加工,2020/7/11,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:64,000万元至68,000万元,同比上年下降:206.78%至213.46%。",-206.78,-213.46
110,sz.000059,华锦股份,辽宁,石油加工,2020/10/14,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:15,000万元至20,000万元,同比上年下降:116.3%至121.74%。",-116.3,-121.74
111,sz.000059,华锦股份,辽宁,石油加工,2021/1/29,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:25,000万元至35,000万元,同比上年下降:64.75%至74.82%。",-64.75,-74.82
112,sz.000061,农产品,深圳,农业综合,2020/1/18,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:约26,000万元至35,000万元,同比上年增长:约563.05%至792.57%。",792.57,563.05
113,sz.000061,农产品,深圳,农业综合,2020/7/15,2020/6/30,预增,"预计2020年1-6月归属于上市公司股东的净利润盈利:16,519万元至21,519万元,同比上年增长:81.85%至136.89%。",136.89,81.85
114,sz.000061,农产品,深圳,农业综合,2020/10/15,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:25,000万元至30,000万元,同比上年增长:53.41%至84.09%。",84.09,53.41
115,sz.000066,中国长城,深圳,IT设备,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:26,000万元至35,000万元。",-601.2806,-774.800808
116,sz.000066,中国长城,深圳,IT设备,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:26,000万元至36,000万元。",-281.32095,-351.059777
117,sz.000066,中国长城,深圳,IT设备,2020/10/15,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:15,000万元至25,000万元。",-184.905333,-241.508889
118,sz.000066,中国长城,深圳,IT设备,2021/1/30,2020/12/31,略减,"预计2020年1-12月归属于上市公司股东的净利润盈利:75,000万元至110,000万元,同比上年下降:1.34%至32.73%。",-1.34,-32.73
119,sz.000068,华控赛格,深圳,环境保护,2020/1/22,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:700万元至1,000万元,同比上年增长:105.27%至107.53%。",107.53,105.27
120,sz.000068,华控赛格,深圳,环境保护,2020/4/15,2020/3/31,减亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:2,500万元至2,800万元,同比上年增长:2.12%至12.61%。",12.61,2.12
121,sz.000068,华控赛格,深圳,环境保护,2020/7/15,2020/6/30,续亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:4,000万元至6,000万元,同比上年变动:-29.69%至13.54%。",13.54,-29.69
122,sz.000068,华控赛格,深圳,环境保护,2020/10/15,2020/9/30,续亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:7,000万元至8,000万元,同比上年变动:-11.31%至2.6%。",2.6,-11.31
123,sz.000068,华控赛格,深圳,环境保护,2021/1/27,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:15,000万元至19,000万元,同比上年下降:2600%至3266.67%。",-2600,-3266.67
124,sz.000070,特发信息,深圳,通信设备,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:6,400万元至8,600万元,同比上年下降:275.23%至335.46%。",-275.23,-335.46
125,sz.000070,特发信息,深圳,通信设备,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:3,700万元至5,200万元,同比上年下降:155.22%至177.61%。",-155.22,-177.61
126,sz.000070,特发信息,深圳,通信设备,2020/10/15,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:1,386万元至1,886万元,同比上年下降:114.57%至119.83%。",-114.57,-119.83
127,sz.000070,特发信息,深圳,通信设备,2021/1/30,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:800万元至1,200万元,同比上年下降:96.29%至97.52%。",-96.29,-97.52
128,sz.000078,海王生物,深圳,医药商业,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:27,000万元至38,000万元。",-212.051147,-257.701615
129,sz.000088,盐田港,深圳,港口,2020/4/11,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,500万元至1,800万元,同比上年下降:67.06%至72.55%。",-67.06,-72.55
130,sz.000089,深圳机场,深圳,机场,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:11,500万元至12,700万元。",-166.48952,-173.427556
131,sz.000089,深圳机场,深圳,机场,2020/7/15,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:13,341万元至15,341万元。",-143.344521,-149.842462
132,sz.000089,深圳机场,深圳,机场,2020/10/15,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:5,438万元至6,438万元。",-111.328651,-113.41189
133,sz.000089,深圳机场,深圳,机场,2021/1/30,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:2,260万元至3,370万元,同比上年下降:94.32%至96.19%。",-94.32,-96.19
134,sz.000090,天健集团,深圳,建筑工程,2020/1/10,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:109,420万元至125,000万元,同比上年增长:40%至60%。",60,40
135,sz.000090,天健集团,深圳,建筑工程,2020/4/14,2020/3/31,预增,"预计2020年1-3月归属于上市公司股东的净利润盈利:90,000万元至108,000万元,同比上年增长:1310.81%至1592.97%。",1592.97,1310.81
136,sz.000090,天健集团,深圳,建筑工程,2020/7/9,2020/6/30,预增,"预计2020年1-6月归属于上市公司股东的净利润盈利:120,000万元至130,000万元,同比上年增长:398.93%至440.51%。",440.51,398.93
137,sz.000090,天健集团,深圳,建筑工程,2020/10/14,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:130,000万元至140,000万元,同比上年增长:421.51%至461.63%。",461.63,421.51
138,sz.000096,广聚能源,深圳,石油贸易,2020/4/14,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:193万元,同比上年下降:81%。",-81,-81
