,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
0,神农集团,sh.605296,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-10 00:00:00,24.67,2022-06-13 00:00:00,25.0,2022-06-13 00:00:00,25.0,26.51,25.0,,True,,,,,,,,,,
1,精准信息,sz.300099,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-20 00:00:00,6.64,2022-07-12 00:00:00,6.7,2022-06-28 00:00:00,7.33,,,,False,,,,,,,,,,
2,四维图新,sz.002405,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,12.58,2022-07-13 00:00:00,12.79,2022-06-29 00:00:00,15.25,,,,False,,,,,,,,,,
3,金利华电,sz.300069,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,17.82,2022-07-12 00:00:00,18.06,2022-06-07 00:00:00,20.09,,,,False,,,,,,,,,,
4,天邦股份,sz.002124,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-10 00:00:00,6.05,2022-06-13 00:00:00,6.16,2022-06-13 00:00:00,6.16,7.81,6.16,,True,,,,,,,,,,
5,万科A,sz.000002,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-06 00:00:00,17.29,2022-06-13 00:00:00,17.47,2022-06-10 00:00:00,17.86,,,,False,,,,,,,,,,
6,神马电力,sh.603530,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,11.15,2022-06-15 00:00:00,11.24,2022-06-06 00:00:00,11.96,14.98,11.96,,True,,,,,,,,,,
7,雪榕生物,sz.300511,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.18,2022-07-15 00:00:00,6.14,2022-07-04 00:00:00,6.88,,,,False,,,,,,,,,,
8,正邦科技,sz.002157,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-10 00:00:00,5.48,2022-06-13 00:00:00,5.56,2022-06-13 00:00:00,5.56,6.63,5.56,,True,,,,,,,,,,
9,亚联发展,sz.002316,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-23 00:00:00,2.25,2022-06-27 00:00:00,2.24,2022-06-24 00:00:00,2.26,2.78,2.26,,True,,,,,,,,,,
10,太阳电缆,sz.002300,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,6.74,2022-06-16 00:00:00,6.75,2022-06-10 00:00:00,6.97,8.06,6.97,,True,,,,,,,,,,
11,京基智农,sz.000048,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-10 00:00:00,17.23,2022-07-06 00:00:00,16.95,2022-07-04 00:00:00,19.92,,,,False,,,,,,,,,,
12,双汇发展,sz.000895,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-06 00:00:00,26.67,2022-07-15 00:00:00,27.11,2022-07-04 00:00:00,30.36,,,,False,,,,,,,,,,
13,威帝股份,sh.603023,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-20 00:00:00,4.36,2022-07-15 00:00:00,4.35,2022-06-27 00:00:00,5.09,,,,False,,,,,,,,,,
14,广弘控股,sz.000529,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.59,2022-07-15 00:00:00,6.58,2022-05-31 00:00:00,7.68,,,,False,,,,,,,,,,
15,通达电气,sh.603390,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,7.3,2022-07-15 00:00:00,7.35,2022-06-28 00:00:00,8.87,,,,False,,,,,,,,,,
16,白云电器,sh.603861,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,7.47,2022-06-15 00:00:00,7.54,2022-06-02 00:00:00,8.32,,,,False,,,,,,,,,,
17,禾丰股份,sh.603609,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,8.17,2022-06-13 00:00:00,8.22,2022-05-31 00:00:00,8.62,9.97,8.62,,True,,,,,,,,,,
18,启明信息,sz.002232,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,12.46,2022-07-15 00:00:00,12.54,2022-06-28 00:00:00,14.75,,,,False,,,,,,,,,,
19,开山股份,sz.300257,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,13.62,2022-06-22 00:00:00,13.77,2022-06-14 00:00:00,14.74,,,,False,,,,,,,,,,
20,中辰股份,sz.300933,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,7.52,2022-06-15 00:00:00,7.62,2022-06-13 00:00:00,7.85,8.81,7.85,,True,,,,,,,,,,
21,回盛生物,sz.300871,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-10 00:00:00,20.29,2022-06-13 00:00:00,20.59,2022-06-13 00:00:00,20.59,,,,False,,,,,,,,,,
22,明泰铝业,sh.601677,2022-07-31 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,21.55,2022-07-06 00:00:00,21.5,2022-06-28 00:00:00,24.53,,,,False,,,,,,,,,,
