,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
811,爱仕达,sz.002403,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,6.8,2022-06-13 00:00:00,6.91,2022-06-13 00:00:00,6.91,7.87,6.91,,True,,,,,,,,,,
812,海南海药,sz.000566,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.25,2022-07-15 00:00:00,4.19,2022-07-11 00:00:00,4.67,,,,False,,,,,,,,,,
813,晨光文具,sh.603899,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,48.14,2022-07-15 00:00:00,48.1,2022-06-30 00:00:00,56.08,,,,False,,,,,,,,,,
814,深南股份,sz.002417,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-25 00:00:00,2.98,2022-06-14 00:00:00,2.98,2022-05-27 00:00:00,3.25,,,,False,,,,,,,,,,
815,荣科科技,sz.300290,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-20 00:00:00,4.14,2022-07-15 00:00:00,4.06,2022-06-02 00:00:00,4.68,,,,False,,,,,,,,,,
816,华微电子,sh.600360,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.8,2022-06-22 00:00:00,6.88,2022-06-06 00:00:00,7.31,,,,False,,,,,,,,,,
817,锦和商业,sh.603682,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,5.35,2022-07-15 00:00:00,5.41,2022-07-04 00:00:00,5.76,,,,False,,,,,,,,,,
818,达威股份,sz.300535,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,12.72,2022-07-12 00:00:00,12.9,2022-06-28 00:00:00,14.0,,,,False,,,,,,,,,,
819,卫宁健康,sz.300253,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,8.06,2022-07-15 00:00:00,7.93,2022-07-04 00:00:00,9.01,,,,False,,,,,,,,,,
820,明微电子,sh.688699,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,89.92,2022-07-15 00:00:00,90.35,2022-06-24 00:00:00,111.19,,,,False,,,,,,,,,,
821,百达精工,sh.603331,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,11.51,2022-07-15 00:00:00,11.65,2022-06-28 00:00:00,12.54,,,,False,,,,,,,,,,
822,万科A,sz.000002,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-06 00:00:00,17.29,2022-06-13 00:00:00,17.47,2022-06-10 00:00:00,17.86,,,,False,,,,,,,,,,
823,哈尔斯,sz.002615,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,5.4,2022-06-13 00:00:00,5.44,2022-05-26 00:00:00,5.75,6.69,5.75,,True,,,,,,,,,,
824,市北高新,sh.600604,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,5.25,2022-07-15 00:00:00,5.15,2022-06-24 00:00:00,6.18,,,,False,,,,,,,,,,
825,康芝药业,sz.300086,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,6.11,2022-06-15 00:00:00,6.14,2022-06-13 00:00:00,6.22,6.92,6.22,,True,,,,,,,,,,
826,ST三五,sz.300051,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,5.46,2022-06-29 00:00:00,5.46,2022-06-09 00:00:00,6.0,,,,False,,,,,,,,,,
827,一品红,sz.300723,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-21 00:00:00,26.94,2022-06-30 00:00:00,26.9,2022-06-27 00:00:00,27.53,,,,False,,,,,,,,,,
828,华力创通,sz.300045,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,7.18,2022-07-12 00:00:00,7.23,2022-06-28 00:00:00,7.96,,,,False,,,,,,,,,,
829,欧陆通,sz.300870,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-20 00:00:00,40.17,2022-06-15 00:00:00,40.73,2022-06-06 00:00:00,44.42,,,,False,,,,,,,,,,
830,新乳业,sz.002946,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-30 00:00:00,11.14,2022-07-15 00:00:00,11.19,2022-06-30 00:00:00,12.99,,,,False,,,,,,,,,,
831,万孚生物,sz.300482,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-30 00:00:00,38.67,2022-07-15 00:00:00,39.18,2022-07-04 00:00:00,42.7,,,,False,,,,,,,,,,
832,江苏吴中,sh.600200,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-01 00:00:00,6.78,2022-06-15 00:00:00,6.91,2022-06-07 00:00:00,7.19,7.84,7.19,,True,,,,,,,,,,
833,宏盛股份,sh.603090,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-08 00:00:00,24.8,2022-06-17 00:00:00,24.9,2022-06-13 00:00:00,25.51,28.13,25.51,,True,,,,,,,,,,
834,信息发展,sz.300469,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,13.56,2022-07-04 00:00:00,13.39,2022-06-06 00:00:00,14.5,,,,False,,,,,,,,,,
835,正泰电器,sh.601877,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-15 00:00:00,33.97,2022-07-12 00:00:00,33.88,2022-07-05 00:00:00,38.1,39.95,38.1,True,True,5.604,True,85900933,25161138.333333332,,,,,,
836,史丹利,sz.002588,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,6.28,2022-06-29 00:00:00,6.23,2022-06-28 00:00:00,6.41,6.89,6.41,,True,,,,,,,,,,
837,兆日科技,sz.300333,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.01,2022-07-15 00:00:00,5.99,2022-06-28 00:00:00,6.78,,,,False,,,,,,,,,,
838,运达科技,sz.300440,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-20 00:00:00,6.07,2022-06-15 00:00:00,6.13,2022-06-06 00:00:00,6.45,6.85,6.45,,True,,,,,,,,,,
839,四方精创,sz.300468,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,9.69,2022-07-15 00:00:00,9.82,2022-06-30 00:00:00,11.45,,,,False,,,,,,,,,,
840,富祥药业,sz.300497,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-01 00:00:00,13.14,2022-06-15 00:00:00,13.2,2022-06-07 00:00:00,14.19,,,,False,,,,,,,,,,
841,惠泉啤酒,sh.600573,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,8.94,2022-07-15 00:00:00,9.04,2022-06-30 00:00:00,10.5,,,,False,,,,,,,,,,
842,城市传媒,sh.600229,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.28,2022-07-15 00:00:00,6.16,2022-06-01 00:00:00,6.69,,,,False,,,,,,,,,,
843,透景生命,sz.300642,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,20.7,2022-07-15 00:00:00,21.09,2022-07-04 00:00:00,24.17,,,,False,,,,,,,,,,
844,中航重机,sh.600765,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,25.18,2022-06-15 00:00:00,25.59,2022-06-10 00:00:00,27.04,32.13,27.04,,True,,,,,,,,,,
845,大业股份,sh.603278,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-17 00:00:00,7.85,2022-07-15 00:00:00,7.74,2022-06-28 00:00:00,8.67,,,,False,,,,,,,,,,
846,回盛生物,sz.300871,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-10 00:00:00,20.29,2022-06-13 00:00:00,20.59,2022-06-13 00:00:00,20.59,,,,False,,,,,,,,,,
847,思创医惠,sz.300078,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.7,2022-07-15 00:00:00,4.72,2022-06-07 00:00:00,5.18,,,,False,,,,,,,,,,
848,上海物贸,sh.600822,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,8.03,2022-07-15 00:00:00,7.95,2022-05-30 00:00:00,10.06,,,,False,,,,,,,,,,
849,大众交通,sh.600611,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,3.05,2022-07-15 00:00:00,3.09,2022-06-15 00:00:00,3.31,,,,False,,,,,,,,,,
850,中百集团,sz.000759,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.85,2022-07-15 00:00:00,4.86,2022-05-31 00:00:00,5.36,,,,False,,,,,,,,,,
851,中闽能源,sh.600163,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,7.75,2022-07-15 00:00:00,7.79,2022-07-07 00:00:00,8.72,,,,False,,,,,,,,,,
852,澳洋健康,sz.002172,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,3.32,2022-06-15 00:00:00,3.35,2022-06-06 00:00:00,3.46,3.88,3.46,,True,,,,,,,,,,
853,亿田智能,sz.300911,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-26 00:00:00,56.3,2022-06-14 00:00:00,57.19,2022-06-01 00:00:00,62.9,65.4,62.9,,True,,,,,,,,,,
854,领益智造,sz.002600,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,4.54,2022-06-13 00:00:00,4.62,2022-06-10 00:00:00,4.62,4.87,4.62,,True,,,,,,,,,,
855,兴蓉环境,sz.000598,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.97,2022-06-22 00:00:00,5.01,2022-05-30 00:00:00,5.26,,,,False,,,,,,,,,,
856,浙商银行,sh.601916,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,3.24,2022-07-15 00:00:00,3.21,2022-06-15 00:00:00,3.4,,,,False,,,,,,,,,,
857,国瓷材料,sz.300285,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,31.28,2022-07-12 00:00:00,31.58,2022-06-06 00:00:00,38.5,,,,False,,,,,,,,,,
858,中农联合,sz.003042,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,17.61,2022-07-12 00:00:00,17.3,2022-07-01 00:00:00,18.4,,,,False,,,,,,,,,,
859,ST大有,sh.600403,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-24 00:00:00,5.03,2022-07-11 00:00:00,4.98,2022-06-28 00:00:00,5.45,,,,False,,,,,,,,,,
860,海尔生物,sh.688139,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,70.42,2022-07-15 00:00:00,69.07,2022-07-05 00:00:00,79.0,,,,False,,,,,,,,,,
861,高乐股份,sz.002348,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,1.94,2022-06-14 00:00:00,1.97,2022-06-13 00:00:00,1.98,2.19,1.98,,True,,,,,,,,,,
862,彤程新材,sh.603650,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,27.19,2022-06-22 00:00:00,27.4,2022-06-06 00:00:00,30.29,,,,False,,,,,,,,,,
