,ts_code,name,area,industry,list_date,close,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
127,000538.SZ,云南白药,云南,中成药,19931215,133.38,1.8199,0.91,40.7245,34.8086,4.4686,5.7435,5.3328,2.2492,2.2492,127740.3317,60216.6957,46016.8015,17038005.4421,8031702.8725
128,000539.SZ,粤电力A,广东,火力发电,19931126,3.57,0.3204,0.62,16.3447,13.6091,0.6916,0.6384,0.6532,3.3613,3.3613,525028.3986,255390.704,81487.7035,1874351.383,911744.8133
129,000540.SZ,中天金融,贵州,多元金融,19940202,2.77,0.7413,0.93,17.5079,47.6143,1.0504,1.5428,2.2797,,,700525.4679,696781.5997,369908.3852,1940455.5461,1930085.0312
130,000541.SZ,佛山照明,广东,家用电器,19931123,6.94,5.9423,1.48,32.2444,32.0255,1.8676,2.9097,2.8111,2.6657,2.6657,139934.6154,107239.3367,53959.5821,971146.2309,744240.9967
131,000543.SZ,皖能电力,安徽,火力发电,19931220,3.8,0.9729,0.52,11.131,9.6747,0.5929,0.5353,0.5319,3.1316,3.1316,226686.3331,179039.5978,98063.3989,861408.0658,680350.4716
132,000544.SZ,中原环保,河南,环境保护,19931208,6.13,0.954,0.92,12.8608,9.1355,0.9673,3.4344,2.8903,4.0783,4.0783,97468.4488,97468.4488,30482.9341,597481.5911,597481.5911
133,000545.SZ,金浦钛业,吉林,化工原料,19931215,2.75,5.4641,0.71,108.5041,,1.3546,1.4398,1.6369,0.7273,0.7273,98683.3096,95940.3096,64730.1648,271379.1014,263835.8514
134,000546.SZ,金圆股份,吉林,水泥,19931215,6.66,0.7703,1.2,9.4574,9.3552,1.0558,0.5825,0.5581,1.2012,1.2012,71464.4396,68848.3928,45657.63,475953.1677,458530.296
135,000547.SZ,航天发展,福建,通信设备,19931130,24.89,4.5063,1.5,59.1752,50.8725,4.9751,9.8926,8.7528,0.3536,0.3536,160542.1646,120540.5063,119823.6727,3995894.4769,3000253.2018
136,000548.SZ,湖南投资,湖南,路桥,19931220,3.67,0.4925,0.68,33.0973,21.2033,1.03,6.3659,4.7969,,,49921.5811,49918.8811,33788.2354,183212.2026,183202.2936
137,000550.SZ,江铃汽车,江西,汽车整车,19931201,18.63,5.4114,0.52,108.7981,46.1161,1.4898,0.5512,0.5214,0.3757,0.3757,86321.4,51846.316,16428.716,1608167.682,965896.8671
138,000551.SZ,创元科技,江苏,专用机械,19940106,7.78,0.4308,0.53,27.5686,26.5381,1.6366,0.9615,1.0133,,,40008.0405,40008.0405,25695.5351,311262.5551,311262.5551
139,000552.SZ,靖远煤电,甘肃,煤炭开采,19940106,2.78,3.5582,1.11,12.116,12.1531,0.8033,1.5674,1.6412,3.5971,3.5971,228697.105,228374.1262,113253.5682,635777.9519,634880.0708
140,000553.SZ,安道麦A,湖北,农药化肥,19931203,7.83,0.7243,1.06,66.2518,,0.8357,0.6659,0.6515,0.16,0.16,234412.1302,217706.7461,34892.95,1835446.9795,1704643.822
141,000554.SZ,泰山石油,山东,石油贸易,19931215,4.07,1.0801,0.88,330.2502,375.1274,2.1568,0.6691,0.8332,,,48079.3318,36264.9711,36264.9711,195682.8804,147598.4324
142,000555.SZ,神州信息,深圳,软件服务,19940408,14.23,3.7881,1.59,36.9658,34.3718,2.4957,1.3685,1.301,0.2726,0.2726,97573.1327,96550.6299,46158.1972,1388465.6783,1373915.4635
143,000557.SZ,西部创业,宁夏,铁路,19940617,3.96,2.7485,0.77,128.9318,33.3585,1.1293,7.2198,7.002,,,145837.4735,145791.6198,79893.2347,577516.3951,577334.8144
144,000558.SZ,莱茵体育,浙江,文教休闲,19940509,2.73,7.3202,0.67,135.2152,54.686,2.7726,25.5324,23.1722,,,128922.3949,128841.9854,64569.1893,351958.1381,351738.6201
145,000559.SZ,万向钱潮,浙江,汽车配件,19940110,4.98,0.92,0.72,30.694,39.5448,2.0211,1.5549,1.5796,1.004,1.004,330379.1344,275314.7124,119737.7737,1645288.0893,1371067.2678
146,000560.SZ,我爱我家,云南,房产服务,19940202,4.17,1.8009,0.45,11.8708,22.8252,0.9616,0.8761,1.0587,1.6538,1.6538,235550.0851,214099.5837,142929.7879,982243.8549,892795.264
147,000561.SZ,烽火电子,陕西,通信设备,19940509,7.11,2.5466,0.53,47.2792,46.6126,3.0191,3.1971,3.1698,,,60469.2321,59938.6035,27026.2741,429936.2402,426163.4709
148,000563.SZ,陕国投A,陕西,多元金融,19940110,3.41,0.8828,0.65,23.2444,19.7057,1.146,7.6993,6.3913,0.8798,0.8798,396401.2846,396401.2846,173629.1422,1351728.3805,1351728.3805
149,000564.SZ,供销大集,陕西,百货,19940110,2.3,2.2742,0.55,,,0.464,2.3886,4.9744,,,598200.4024,200589.5931,181492.3011,1375860.9255,461356.0641
150,000565.SZ,渝三峡A,重庆,染料涂料,19940408,4.2,0.5354,0.7,28.0569,43.9777,1.5595,3.8498,4.214,0.3571,0.3571,43359.222,43359.222,25778.3238,182108.7324,182108.7324
