,股票代码,股票名称,报告日期,基金家数,基金数量与上期相比,基金持股数（万股）,持股数与上期相比,基金持股市值,占流通盘比率,本季度当月平均涨幅,本季度第2个月平均涨幅,本季度第1个月平均涨幅,下季度第1个月平均涨幅,下季度第2个月平均涨幅
402,601001,晋控煤业,2020/12/31,1,-2,94.37,-683.18,594.53,0.06,9.33,26.37,-0.93,-27.22,8.72
403,601000,唐山港,2020/12/31,9,1,642.11,410.34,1592.43,0.11,-5.29,10.89,-3.59,-8.28,4.74
404,600999,招商证券,2020/12/31,94,-1,30883.6,-3608.71,720823.24,4.16,8.73,15.64,-4.1,6.7,-17.34
405,600998,九州通,2020/12/31,9,-5,835.39,-1267.6,15170.68,0.45,3.38,-2.22,7.36,4.14,-10.28
406,600993,马应龙,2020/12/31,7,-3,1397.41,-23.62,28143.82,3.25,-0.09,-3.92,1.99,-4.72,1.19
407,600990,四创电子,2020/12/31,3,-1,150.37,-96.61,6989.2,0.94,16.12,3.26,-9.66,-2.41,-2.42
408,600989,宝丰能源,2020/12/31,18,5,1698.66,-724.26,19874.35,0.85,-6.82,23.32,0.15,43.49,13.79
409,600988,赤峰黄金,2020/12/31,49,-16,8197.39,-303.21,146741.52,5.34,3.94,-1.97,1.72,-4.56,4.22
410,600985,淮北矿业,2020/12/31,25,10,2182.54,1108.04,24422.64,3.36,-0.2,14.26,4.14,-3.74,11.65
411,600984,建设机械,2020/12/31,7,-50,1005.45,-6687.41,12417.26,1.17,-13.98,-6.54,-28.43,-18.06,35.34
412,600976,健民集团,2020/12/31,2,0,773,-4,19626.47,5.04,-5.38,6.13,3.31,16.12,-9.2
413,600971,恒源煤电,2020/12/31,8,-1,7547.37,6196.77,47472.98,6.29,15.98,14.78,-17.52,-17.42,4.35
414,600970,中材国际,2020/12/31,3,-1,80.63,34.67,554.73,0.05,-3.28,3.67,7.14,28.91,19.91
415,600967,内蒙一机,2020/12/31,10,-2,3051.63,2588.12,37107.86,1.81,19.36,-6.03,-2.31,-13.92,-0.21
416,600966,博汇纸业,2020/12/31,46,2,6321.99,2032.49,95019.5,4.73,2.28,16.44,8.77,15.89,9.81
417,600963,岳阳林纸,2020/12/31,8,6,1977.21,1927.57,8284.53,1.1,-5.68,10.81,2.15,18.65,13.58
418,600958,东方证券,2020/12/31,62,8,33460.77,5695.11,389148.72,5.83,0.57,10.57,-2.38,-12.75,-5.46
419,600933,爱柯迪,2020/12/31,12,5,1565.09,965.51,24415.38,1.83,-4.45,24.49,-3.76,0.42,19.36
420,600926,杭州银行,2020/12/31,88,28,19157.53,14663.61,285830.33,3.8,-1.57,16.58,10.04,-0.64,13.52
421,600919,江苏银行,2020/12/31,49,9,6470.89,1641.9,35331.07,0.44,-7.62,6.87,-1.02,2.08,4.58
422,600900,长江电力,2020/12/31,196,-49,20289.65,-4910.11,388749.69,0.89,-4.73,7.12,-0.83,1.6,0.04
423,600895,张江高科,2020/12/31,3,-3,1.53,-353.43,26.07,0,-8.78,-1.39,-0.03,3.76,0.4
424,600893,航发动力,2020/12/31,185,95,20044.68,1820.28,1188788.54,9.51,28.92,28.76,-11.63,4.07,6.92
425,600887,伊利股份,2020/12/31,917,25,123856.23,9859.87,5495501.02,20.89,16.53,-2.68,4.18,0.91,-0.43
426,600886,国投电力,2020/12/31,18,-18,4314.52,-3918.25,37277.47,0.62,-8.96,2.81,2.53,0.53,-3.85
427,600885,宏发股份,2020/12/31,76,8,3813.72,-2643.78,206779.64,5.12,12.98,-4.56,12.32,6.14,-2.22
428,600884,杉杉股份,2020/12/31,58,43,8740.2,6702.3,157585.81,5.37,29.44,12.52,17.36,-0.75,-9.07
429,600882,妙可蓝多,2020/12/31,37,22,2869.76,1216.52,163863.18,7.01,44.2,10.73,-16.91,13.4,-10.7
430,600881,亚泰集团,2020/12/31,2,0,2785.41,-800.92,8634.78,0.86,-3.63,1.36,-3.86,-10.43,3.59
431,600875,东方电气,2020/12/31,4,0,75.83,-275.85,756.04,0.04,-5.87,3.3,5.16,30.7,-1.61
432,600873,梅花生物,2020/12/31,4,-15,786.74,-6519.28,3666.22,0.25,-14.9,5,-0.77,35.17,2.91
433,600872,中炬高新,2020/12/31,54,-23,3446.37,-1174.4,229700.79,4.33,10.86,-1.24,-3.65,-2.21,-24.63
434,600867,通化东宝,2020/12/31,12,6,2778.95,1876.02,37181.04,1.37,-0.67,-4.92,5.58,-15.15,9.28
435,600862,中航高科,2020/12/31,60,10,13707.47,5447.3,412594.74,9.84,26.71,7.36,-5.48,8.94,-7.66
436,600859,王府井,2020/12/31,2,-13,68.01,-447.71,2215.77,0.09,-3.24,-14.9,-17.06,8.8,0.84
437,600848,上海临港,2020/12/31,5,1,2421.21,325.71,48472.66,1.99,-7.47,-4.08,1.63,-6.61,1.72
438,600845,宝信软件,2020/12/31,79,-86,8571.87,-1829.12,591287.32,10.21,13.76,-4.38,-12.07,-6.92,-12.91
439,600839,四川长虹,2020/12/31,3,2,242.13,-842.25,702.18,0.05,0.03,8.59,-4.86,-11.46,2.93
440,600837,海通证券,2020/12/31,71,-60,59909.01,-24122.82,770429.81,7.06,-4.67,0.49,-0.58,-5.24,-1.9
441,600823,世茂股份,2020/12/31,3,-2,306.17,-1014.1,1411.44,0.08,-18.48,-1.49,-5.87,-4.23,8.64
442,600820,隧道股份,2020/12/31,7,-3,1113.2,-102.69,6022.39,0.35,-6.55,4.64,-0.64,-3.86,2.35
443,600812,华北制药,2020/12/31,1,-1,4.22,-8.78,43.42,0,3.85,-4.17,-12.23,-15.16,6.45
444,600809,山西汾酒,2020/12/31,404,162,16308.29,3679.47,6113945.03,18.84,45.7,11.56,13.63,1.81,-16.52
445,600808,马钢股份,2020/12/31,1,0,7916.36,2501.39,21057.52,1.33,-4.1,9.15,-3.38,-3.33,10.97
446,600803,新奥股份,2020/12/31,3,-2,447.89,-295.44,6086.85,0.36,-3.39,11.54,14.01,18.32,-1.39
447,600801,华新水泥,2020/12/31,5,-16,597.66,-8945.02,12329.7,0.44,-16.94,2.21,-3.7,-6.19,13.91
448,600795,国电电力,2020/12/31,2,-9,1200,-479.41,2700,0.06,4.93,9.84,-2.97,-8.19,0.56
449,600787,中储股份,2020/12/31,2,0,43.74,0,201.64,0.02,-4.27,8.09,-3.23,-0.98,8.61
450,600782,新钢股份,2020/12/31,9,5,1529.37,586.02,7019.79,0.48,-0.04,11.36,3.23,-12.73,12.78
451,600779,水井坊,2020/12/31,29,-11,2293.63,428.12,190417.52,4.7,18.32,6.71,3.8,10.02,-23.16
452,600765,中航重机,2020/12/31,48,40,3842.43,-292.38,96060.79,4.48,33.14,27.23,3.39,-25.84,-2.53
453,600764,中国海防,2020/12/31,9,7,76.83,-492.6,2782.01,0.15,10.76,-4.19,-10.29,-25.08,-1.79
454,600763,通策医疗,2020/12/31,185,21,7057.01,117.04,1951404.88,22.01,28.28,-0.64,5.79,16.87,-11.19
455,600761,安徽合力,2020/12/31,12,-15,1091,348.21,15492.19,1.47,-4.72,9.24,5.9,0.52,16.47
456,600760,中航沈飞,2020/12/31,111,41,10061.75,931.86,786627.47,7.2,27,20.56,-9.07,2.52,8.6
457,600754,锦江酒店,2020/12/31,50,-3,4633.09,1200.46,238724.95,5.78,6.74,8.67,9.72,0,-0.41
458,600745,闻泰科技,2020/12/31,44,-57,3676.49,-3296.41,363794.23,4.25,-5.74,6.04,-14.29,1.97,0.11
459,600742,一汽富维,2020/12/31,18,-5,3038.8,1057.1,30509.53,4.54,-9.5,-4.42,14.76,-11.88,10.92
460,600741,华域汽车,2020/12/31,137,-53,11505.48,-2735.48,331587.96,3.65,-7.46,1.38,23.22,2.47,-14.46
461,600739,辽宁成大,2020/12/31,32,-27,640.4,-1665.02,15574.48,0.42,7.88,2.71,-2.9,-8.51,-0.1
462,600737,中粮糖业,2020/12/31,7,1,343.62,-937.69,3326.25,0.16,10.48,6.6,-3.29,-4.27,14.29
463,600733,北汽蓝谷,2020/12/31,8,2,3499.74,2820.75,30342.72,1.92,3.99,29.39,12.22,-2.28,-4.43
464,600732,爱旭股份,2020/12/31,20,-9,4136.83,-6359.32,64830.78,6.34,-3.36,21.81,-1.87,10.3,-24.93
465,600729,重庆百货,2020/12/31,6,-8,316.14,-137.59,9136.41,0.78,-4.82,-16.19,5.06,-4.2,6.23
466,600727,鲁北化工,2020/12/31,4,0,1260.1,0,8480.45,3.59,-9.99,15.02,-4.41,-5.21,14.8
467,600718,东软集团,2020/12/31,2,-3,80.46,-217.26,837.57,0.06,-6.17,-0.14,-8.06,-5.98,1.78
468,600711,盛屯矿业,2020/12/31,7,3,1664.59,473.38,15247.62,0.69,38.92,13.73,7.86,-13.52,15.07
469,600705,中航资本,2020/12/31,1,-1,194.06,185.66,849.98,0.02,-5.64,9.04,1.99,-6.07,0.83
470,600704,物产中大,2020/12/31,5,1,638.05,134.23,2788.28,0.13,-4.84,3.96,-4.31,-2.18,9.4
471,600703,三安光电,2020/12/31,73,-9,57391.58,-15086.39,1550146.59,14.07,1.75,28.76,-9.08,15.78,6.38
472,600702,ST舍得,2020/12/31,1,0,4.22,-4.55,360.56,0.01,37.94,25.07,37.63,-10.35,-1.73
473,600699,均胜电子,2020/12/31,25,15,7603,6072.25,189328.26,6.15,2.6,4.83,8.82,4.65,-19.61
474,600690,海尔智家,2020/12/31,459,101,88514.86,17665.57,2585519.06,14.03,8.51,11.81,13.5,9.73,-6.25
475,600685,中船防务,2020/12/31,2,0,4.88,-1.98,129.71,0.01,3.14,1.67,-13.35,-5.38,8.24
476,600683,京投发展,2020/12/31,1,0,57.43,0.76,230.29,0.08,-7.7,7.13,-3.55,9.77,8.18
477,600681,百川能源,2020/12/31,2,0,593.44,-77.58,3008.72,0.41,-1.55,1.86,-0.15,5.02,-0.82
478,600674,川投能源,2020/12/31,15,-2,4242,-403.21,42632.11,0.96,-3.55,3.97,2.65,11.15,-2.99
479,600673,东阳光,2020/12/31,2,-4,38.03,-7.78,191.27,0.02,-10.16,-1.39,-8.29,-6.67,9.09
480,600663,陆家嘴,2020/12/31,2,0,2848.18,-197.15,30475.49,0.97,-8.42,1.89,0.45,-2.62,1.58
481,600660,福耀玻璃,2020/12/31,208,71,28272.07,17319.01,1358253.48,14.11,18.93,6.85,15.54,22.38,-16.39
482,600657,信达地产,2020/12/31,2,0,0.02,-69.04,0.08,0,-10.99,8.92,-6.42,-7.39,5.45
483,600655,豫园股份,2020/12/31,2,0,22.52,22.38,200.2,0.01,-0.96,4.58,-1.32,21.39,-2.01
484,600640,号百控股,2020/12/31,2,1,158,136,1935.5,0.2,-15.38,8.39,-12.64,-15.71,7.57
485,600637,东方明珠,2020/12/31,9,-4,1961.41,187.15,17534.99,0.57,-6.01,4.65,-5.31,-3.14,3.94
486,600633,浙数文化,2020/12/31,3,-1,338.7,89.6,2757.02,0.26,-10.76,0.6,-6.35,-9.85,2.75
487,600621,华鑫股份,2020/12/31,1,0,71.8,-4.9,1634.87,0.07,21.08,11.99,-10.84,-16.86,-12.39
488,600612,老凤祥,2020/12/31,11,-4,3061.46,-45.53,138776.19,9.65,-3.7,5.43,-2.14,3.63,12.14
489,600606,绿地控股,2020/12/31,22,-5,11693.15,-24.26,68171.09,0.96,-9.63,4.58,-2.72,-7.06,6.26
490,600603,广汇物流,2020/12/31,4,2,5864.62,4962.78,28326.1,4.69,0.05,2.83,-5.38,-13.06,7.63
491,600600,青岛啤酒,2020/12/31,85,16,4043.09,181.7,401883.04,5.81,9.29,14.59,6.28,-3.93,-10.76
492,600598,北大荒,2020/12/31,7,2,253.89,-105.36,4887.39,0.14,12.22,-1.42,-5.75,-13.58,4.97
493,600597,光明乳业,2020/12/31,16,-20,2076.49,-950.18,33763.77,1.7,10.33,-3.13,-7.06,10.91,-1.59
494,600588,用友网络,2020/12/31,110,-3,21760.26,3178.79,954622.82,6.69,1.49,3.78,12.84,-0.49,-12.81
495,600585,海螺水泥,2020/12/31,121,-179,2480.05,-7744.57,128020.36,0.62,-8.84,10.59,-8.19,-1.71,5.55
496,600584,长电科技,2020/12/31,51,11,22292.36,-2120.94,948985.88,16.39,-2.38,20.85,3.82,-1.02,-0.06
497,600583,海油工程,2020/12/31,7,-3,97.86,-606.11,439.38,0.02,-3.56,11.07,-6.34,-5.4,15.92
498,600580,卧龙电驱,2020/12/31,4,-7,136.69,-223.45,2132.34,0.1,17.97,13.45,1.33,-21.53,-0.68
499,600578,京能电力,2020/12/31,1,0,55.59,0,167.88,0.01,-1.45,4.08,-2.63,-3.58,0.11
500,600570,恒生电子,2020/12/31,274,-57,13989.05,-628.24,1467451.12,13.4,18.09,-2.13,-5.46,-0.48,-6.31
501,600566,济川药业,2020/12/31,8,6,1578.62,1572.62,31209.24,1.94,-7.68,-0.57,-0.1,-6.71,9.12
502,600563,法拉电子,2020/12/31,82,57,3646.88,1812.46,392221.46,16.21,26.04,-3.15,25.82,-0.36,-11.08
503,600562,国睿科技,2020/12/31,4,-16,115.3,-515.22,1962.41,0.17,3.13,-8.98,-1.71,-10.91,-1.63
504,600556,天下秀,2020/12/31,7,-9,284.01,-1174.69,3508.62,0.81,-6.31,-21.4,1.57,-2.09,3.87
505,600549,厦门钨业,2020/12/31,10,3,356.13,162.75,6000.8,0.25,11.44,13.35,0.51,4.73,19.63
506,600548,深高速,2020/12/31,7,2,385.19,159.94,3420.5,0.27,-1.46,4.19,0.99,-5.98,2.16
507,600547,山东黄金,2020/12/31,42,-51,6457.21,-9955.25,152519.38,1.83,-0.73,1.67,-6.82,-2.97,1.25
508,600546,山煤国际,2020/12/31,3,-9,3348.74,-1625.28,28497.79,1.69,12.38,-21.07,-6.02,-25.02,4.01
509,600536,中国软件,2020/12/31,18,-13,565.19,-518.66,44514.71,1.14,8.74,8.68,-16.31,-24.98,-3.23
510,600535,天士力,2020/12/31,3,-2,118.24,-41.26,1748.82,0.08,-11.34,-4.23,3.82,-8.36,3.4
511,600529,山东药玻,2020/12/31,26,8,941.5,505.86,47216.29,1.58,14.77,2.58,0.87,-25.8,2.57
512,600528,中铁工业,2020/12/31,7,-3,319.47,-587.62,2792.17,0.14,-7.26,5.18,-0.28,-1.15,3.88
513,600522,中天科技,2020/12/31,13,-1,20306.35,4640.39,220120.82,6.62,0.51,-0.32,5.39,-1.19,4.83
514,600521,华海药业,2020/12/31,116,-17,18398.03,2475.66,621940.84,12.65,10.89,-4.47,5.54,-26.12,17.5
515,600519,贵州茅台,2020/12/31,2419,340,11619.09,2545.54,23214944.42,9.25,15.63,4.17,0.33,5.83,2.99
516,600511,国药股份,2020/12/31,4,-5,7.88,-159.97,383.74,0.01,12.8,5.29,-1.39,-20.16,-3.17
517,600507,方大特钢,2020/12/31,14,-5,1023.73,-9449.44,7104.65,0.47,-4.93,18.51,12.54,-5.87,15.93
518,600498,烽火通信,2020/12/31,6,-1,285.17,38.31,6866.99,0.25,-2.51,6.57,-0.51,-21.79,-2.17
519,600496,精工钢构,2020/12/31,6,-10,5029.57,-2478.03,22532.46,2.94,-15.03,2.66,1.75,14.73,9.17
520,600489,中金黄金,2020/12/31,17,-17,5735.4,-6590.55,50283.27,1.57,-7.57,3.3,-7.61,-1.86,12.58
521,600487,亨通光电,2020/12/31,2,-1,977.48,213.82,13555.46,0.51,-5.47,1.98,1.8,-11.52,7.41
522,600486,扬农化工,2020/12/31,117,29,2943.33,267.68,388519.31,9.5,13.62,27.36,6.46,15.25,-3.7
523,600483,福能股份,2020/12/31,3,-2,135.56,6.26,1074.99,0.09,0.68,3.82,-3.43,-1.52,5.3
524,600480,凌云股份,2020/12/31,6,-3,946.98,294.34,8219.77,1.24,-1.83,-2.23,-6.78,-2.26,-5.87
525,600466,蓝光发展,2020/12/31,2,-6,32.06,-1199.54,148.44,0.01,-10.73,5.52,-1.9,-9.53,6.53
526,600461,洪城水业,2020/12/31,5,2,1051.6,756.56,7108.83,1.15,-1.64,2.22,6.36,-11.57,-1.07
527,600460,士兰微,2020/12/31,31,20,6429.54,6212.69,160738.54,4.9,47.08,7.37,-5.94,-7.34,29.77
528,600459,贵研铂业,2020/12/31,4,2,432,332,11124,0.99,3.51,18.19,-1.68,-13.91,6.87
529,600438,通威股份,2020/12/31,371,-16,63483.42,-26338.01,2438682.32,14.81,24.2,4.4,15.67,14.73,4.56
530,600436,片仔癀,2020/12/31,98,17,1505.55,172.67,402750,2.5,25.37,-3.74,-5.58,14.45,2.81
531,600435,北方导航,2020/12/31,1,0,77.3,0,695.7,0.05,-0.5,9.9,-8.45,-8.26,-0.36
532,600426,华鲁恒升,2020/12/31,211,102,31224.81,4725.39,1164685.45,19.25,6.77,23.83,15.25,12.69,14.88
533,600418,江淮汽车,2020/12/31,6,4,4522.28,4169.26,55307.43,2.39,26.25,19.06,18.15,-29.73,-0.06
534,600416,*ST湘电,2020/12/31,16,3,6912.59,1145.18,145026.21,7.31,28.38,-3.15,-3.49,-21.87,12.12
535,600415,小商品城,2020/12/31,1,-5,98.15,-1630.14,540.81,0.02,2.2,3.13,-4.75,-5.59,-0.69
536,600409,三友化工,2020/12/31,64,44,13053.57,8963.63,133799.13,6.32,11.88,28.67,6.1,17.41,17
537,600406,国电南瑞,2020/12/31,34,-12,7952.48,-521.23,211297.51,1.73,12.4,13.06,5.48,12.09,0.45
538,600399,ST抚钢,2020/12/31,52,39,10215.35,8697.53,152208.79,5.18,34.56,31.22,12.39,1.76,-5.96
539,600398,海澜之家,2020/12/31,3,-3,300.31,-149.67,1927.99,0.07,-3.92,0.37,8.45,0.99,12.34
540,600392,盛和资源,2020/12/31,6,4,204.88,204.86,1821.4,0.12,2.15,34.38,-4.55,61.01,43.11
541,600391,航发科技,2020/12/31,2,1,680.82,-396.94,17599.22,2.06,1.04,28.9,-14.03,-30.9,9.61
542,600390,五矿资本,2020/12/31,3,0,905.88,173.01,6323.04,0.2,-2.93,8.21,-2.89,-9.49,3.55
543,600383,金地集团,2020/12/31,93,-52,17973.92,-8540.13,242647.94,3.98,-11.17,12.44,-8.38,-20.57,18.44
544,600380,健康元,2020/12/31,20,-12,3363.55,-2488.37,46791.18,1.72,-0.05,-3.62,-11.64,-11.63,8.85
545,600378,昊华科技,2020/12/31,4,0,95.8,29.6,2012.76,0.27,1.44,-7.82,15.22,1.67,0.74
546,600377,宁沪高速,2020/12/31,30,-1,2430.08,72.72,22380.99,0.64,-4.18,4.94,-3.42,-2.65,2.82
547,600372,中航电子,2020/12/31,29,2,3086.1,-2119.37,60641.88,1.6,9.48,14.33,-5.54,-7.06,-6.02
548,600362,江西铜业,2020/12/31,12,0,878.82,-903,17532.47,0.42,-8.16,42.54,4.61,0.41,42.65
549,600352,浙江龙盛,2020/12/31,13,-6,2730.49,-1060.94,37189.28,0.84,-8.81,13.02,-1.9,4.68,22.89
550,600350,山东高速,2020/12/31,19,5,4835.32,-9902.56,29882.26,1.01,-14.79,18.81,7.32,-8.03,12.7
551,600348,华阳股份,2020/12/31,11,4,1944.8,-112.25,10910.32,0.81,4.88,16.36,-1.11,-14.79,4.15
552,600346,恒力石化,2020/12/31,109,49,27652.01,14283.3,773426.71,3.93,7.53,30.59,4.54,39.96,-1.94
553,600340,华夏幸福,2020/12/31,9,-25,1398.59,-4768.98,18083.83,0.36,-13.62,5.73,-7.39,-30.23,-13.83
554,600339,中油工程,2020/12/31,3,-7,608.77,-1375.8,1875.01,0.11,0.1,14.02,-8.03,-20.45,9.14
555,600332,白云山,2020/12/31,2,-1,72.64,-39.6,2124.68,0.05,-4.37,2.4,1.76,-4.52,6.47
556,600325,华发股份,2020/12/31,6,-7,365.71,-109.31,2271.06,0.17,-4.33,0.47,-1.37,0.8,-0.73
557,600323,瀚蓝环境,2020/12/31,32,-23,7668.11,164.87,190245.82,10,3.16,-1.29,-11.17,-15.07,23.92
558,600316,洪都航空,2020/12/31,60,37,5567.8,2685.11,316640.95,7.76,47.77,11.04,-9.48,-30.38,10.93
559,600315,上海家化,2020/12/31,6,-7,817.98,-183.43,28408.39,1.22,-7.15,-6.09,9.97,15.77,18.22
560,600309,万华化学,2020/12/31,437,68,32046.69,1228.08,2917530.44,22.51,11.94,7.46,13.16,29.72,16.41
561,600305,恒顺醋业,2020/12/31,25,-1,4231.53,-886.4,93686.07,4.22,9.35,3.67,-4.74,9.9,-11.66
562,600298,安琪酵母,2020/12/31,43,-93,3662.83,-2079.37,186893.31,4.44,11.38,-5.49,-13.85,9.79,4.17
563,600297,广汇汽车,2020/12/31,7,-6,22841.94,-7007.07,64460.95,2.82,-18.16,-0.49,9.4,-15.17,7.06
564,600285,羚锐制药,2020/12/31,4,-6,468.42,-499.08,3967.52,0.82,-7.51,-0.49,-8.61,-7.48,11.17
565,600284,浦东建设,2020/12/31,1,0,20.83,-6.35,126.67,0.02,-4.9,1.31,3.31,-7.25,4.58
566,600282,南钢股份,2020/12/31,18,8,13505.12,10753.88,42135.96,3.04,-3.96,9.89,-2.28,1.74,14.21
567,600276,恒瑞医药,2020/12/31,1104,133,50302.25,1548.15,5606688.66,9.48,27.07,-1.24,-0.93,-7.94,-2.91
568,600273,嘉化能源,2020/12/31,3,-1,3401.98,875.92,31434.27,2.37,-13.11,9.75,-8.74,-7,14.4
569,600267,海正药业,2020/12/31,2,0,5.46,0,90.25,0.01,0.17,3.43,0.92,-0.13,6.5
570,600266,城建发展,2020/12/31,4,-3,11.44,-42.02,58.12,0.01,-10.67,3.68,-3.84,-7.76,2.47
571,600258,首旅酒店,2020/12/31,27,7,3143.33,2275.55,66701.5,3.21,-8.12,33.74,-2.15,4.21,14.16
572,600256,广汇能源,2020/12/31,9,0,1791.19,184.21,5069.08,0.27,-6.88,6.57,2.24,-15.81,12.8
573,600236,桂冠电力,2020/12/31,3,-2,593.28,219.79,2646.02,0.08,-3,3.17,-7.43,1.16,1.35
574,600233,圆通速递,2020/12/31,3,-11,174.41,-354.63,2005.74,0.06,-11.15,-5.56,-0.01,1.58,2.8
575,600219,南山铝业,2020/12/31,34,33,26835.68,26318.68,84800.74,2.25,10.71,22.33,3.15,9.87,24.18
576,600216,浙江医药,2020/12/31,5,-8,2283.39,-1080.25,31054.07,2.37,-2.84,3.83,-4.08,-0.07,11.01
577,600211,西藏药业,2020/12/31,3,-2,351.02,-278.29,23616.48,1.42,12.26,-28.74,11.42,-23.67,3.3
578,600208,新湖中宝,2020/12/31,3,-3,2783.65,260.83,8629.32,0.32,-5.25,4.47,-4.97,-2.89,4.06
579,600201,生物股份,2020/12/31,24,-82,8933.37,-9911.19,186621.9,7.98,-14.51,4.02,-12.57,7.39,-5.17
580,600196,复星医药,2020/12/31,44,-15,7161.77,3512.32,386663.98,3.56,4.5,-2.13,11.58,-13.51,2.17
581,600195,中牧股份,2020/12/31,6,-5,1843.83,-352.15,23619.41,1.82,-5.82,-2.85,-0.92,1.17,1.46
582,600188,兖州煤业,2020/12/31,35,18,7387.94,4286.35,74396.53,2.48,-11.21,25.11,-2.43,-13.51,19.14
583,600183,生益科技,2020/12/31,47,27,5570.13,5238.38,156854.87,2.43,1.65,17.63,2.81,-17.67,4.23
584,600177,雅戈尔,2020/12/31,6,-2,973.26,-118.41,6997.73,0.21,-0.46,1.72,4.53,2.49,14.32
585,600176,中国巨石,2020/12/31,174,33,36696.98,7722.48,732471.82,10.48,17.96,19.09,-2.99,18,6.76
586,600170,上海建工,2020/12/31,2,-2,562.03,-7138.45,1691.71,0.06,-1.92,1.69,-1.62,-3.69,2.13
587,600166,福田汽车,2020/12/31,8,6,9520.28,8294.54,29988.87,1.45,-5.17,9.3,26.48,-12.41,40.24
588,600161,天坛生物,2020/12/31,28,-21,7280.74,-3329.78,303606.97,5.8,5.43,14.01,-13.09,-6.33,-9.09
589,600160,巨化股份,2020/12/31,1,0,2,-0.45,16.22,0,3.45,17.87,-2.24,12,1.71
590,600158,中体产业,2020/12/31,6,-3,318.52,-129.46,3905,0.48,-9.76,7.5,2.59,0.04,2.46
591,600157,ST永泰,2020/12/31,2,-3,5731.34,-3624.22,7001.79,0.26,-3.05,7.17,1.3,0.77,3.08
592,600155,华创阳安,2020/12/31,1,-3,4.49,-259.11,59.22,0,9.62,14.02,-5.65,-16.36,6.46
593,600153,建发股份,2020/12/31,11,-16,1259.52,-4798.4,10340.65,0.44,-10.39,10.44,-2.3,-4.87,7.02
594,600143,金发科技,2020/12/31,30,-18,620.98,-1089.44,10643.68,0.24,-0.77,16.34,-2.27,60.42,-3.65
595,600141,兴发集团,2020/12/31,8,4,1052.5,-127.93,11045.79,1.23,-9.37,8.57,14.23,21.21,6.56
596,600138,中青旅,2020/12/31,4,0,239.34,-236.69,2455.63,0.33,-8.19,14.22,-10.86,-2.53,16.73
597,600132,重庆啤酒,2020/12/31,74,-5,4501.13,168.75,535589.47,9.3,13.21,-1.11,3.88,9.08,-11.11
598,600116,三峡水利,2020/12/31,8,2,1858.14,328.88,15645.5,1.87,-2.31,5.55,-9.63,0.91,7.67
599,600115,东方航空,2020/12/31,13,-20,3613.53,-16856.41,16911.33,0.37,-5.93,11.41,-7.18,0.82,4.2
600,600111,北方稀土,2020/12/31,14,-2,4323.21,-451.02,56590.88,1.19,-2.1,33.26,-6.15,29,27.73
601,600110,诺德股份,2020/12/31,2,1,1158.26,414.87,10713.91,1.01,32.64,10.34,18.62,10.35,-6.88
602,600109,国金证券,2020/12/31,14,-25,686.95,-1330.22,11176.68,0.23,-8.86,23.75,-1.83,-14.07,-8.48
603,600104,上汽集团,2020/12/31,82,-7,10779.92,2416.43,263461.2,0.92,-6.74,15.02,19.44,-10.82,-3.02
604,600095,湘财股份,2020/12/31,1,-2,42.6,-31.51,596.8,0.09,0.9,22.42,-25.94,-11.86,-36.69
605,600089,特变电工,2020/12/31,47,22,4762.51,-2323.17,48339.43,1.28,19.04,4.74,-6.36,26.07,-0.97
606,600085,同仁堂,2020/12/31,6,0,150.24,11.33,3590.74,0.11,-11.55,0.26,-0.17,1.51,14.05
607,600081,东风科技,2020/12/31,2,0,10.56,-23.72,187.12,0.03,38.72,8.95,7.05,-37.25,1.35
608,600079,人福医药,2020/12/31,88,-9,14631.07,-1325.43,495689.39,10.81,2.5,3.08,2.57,-20.55,8.2
609,600076,康欣新材,2020/12/31,2,0,60,0,217.8,0.06,-0.18,13.89,-0.86,-14.18,12.46
610,600068,葛洲坝,2020/12/31,5,0,3952.81,-730.26,26009.47,0.86,-3.26,-1.84,16.85,-0.51,4.97
611,600066,宇通客车,2020/12/31,53,-27,19645.12,-5264.31,332395.45,8.87,-1.7,16.86,2.71,-21.61,15.78
612,600064,南京高科,2020/12/31,4,-9,63.84,-503.5,655.64,0.05,-2.29,4.32,-7.58,-7.13,5.8
613,600062,华润双鹤,2020/12/31,5,3,190.38,179.08,2282.63,0.18,-4.95,0.78,-0.34,-5.08,4
614,600060,海信视像,2020/12/31,14,-9,8428.93,-3117.17,96764.17,6.44,3.47,-10.8,-2.73,12.8,6.97
615,600057,厦门象屿,2020/12/31,3,1,364.77,1.1,2195.92,0.17,-5.54,7.89,2.04,-13.95,15.92
616,600050,中国联通,2020/12/31,11,-2,1383.27,-592.04,6169.38,0.05,-9.32,3.82,-1.54,-6.16,7
617,600048,保利地产,2020/12/31,367,-67,93558.71,5062.82,1480098.78,7.82,-8.35,11.86,-3.26,-13.19,15.88
618,600039,四川路桥,2020/12/31,4,1,111.72,-541.12,503.86,0.03,-7.68,10.51,4.33,10.68,12.4
619,600038,中直股份,2020/12/31,32,-4,1481.45,-87.69,92901.92,2.51,16.24,10.11,-10.77,-7.14,-4.92
620,600037,歌华有线,2020/12/31,3,-1,4162.14,-1927.28,38291.71,2.99,-12.38,-3.57,-2.79,-9.23,-3.38
621,600036,招商银行,2020/12/31,1282,168,131694.07,10105.86,5787954.21,6.38,-0.17,15.33,10.23,18.13,-0.94
