,股票代码,股票名称,报告日期,基金家数,基金数量与上期相比,基金持股数（万股）,持股数与上期相比,基金持股市值,占流通盘比率,本季度当月平均涨幅,本季度第2个月平均涨幅,本季度第1个月平均涨幅,下季度第1个月平均涨幅,下季度第2个月平均涨幅
246,603259,药明康德,2020/12/31,648,179,41624.16,9652.02,5607606.48,29.45,27.07,-2.87,10.85,25.53,-10.12
247,603258,电魂网络,2020/12/31,6,-1,77.45,-194.21,2437.35,0.32,-1.86,-15.44,1.96,8.23,-16.68
248,603236,移远通信,2020/12/31,32,6,279.14,97.11,52173.26,3.93,4,3.15,-7.69,24.24,17.26
249,603233,大参林,2020/12/31,51,-26,3786.05,-530.66,296636.92,5.77,-11.51,-9.04,14.26,25.15,-11.15
250,603232,格尔软件,2020/12/31,2,-7,64.83,-85.69,1662.24,0.34,-20.84,23.05,-12.8,-27.76,1.56
251,603228,景旺电子,2020/12/31,16,-7,933.08,-1441.62,28132.5,1.11,-4.91,0.87,-3.84,-12.59,7.59
252,603218,日月股份,2020/12/31,76,11,12643.31,6614.32,373036.27,15.3,18.81,12.67,7.09,32.37,-8.03
253,603208,江山欧派,2020/12/31,19,12,795.19,570.85,83693.23,7.57,7.04,-14.34,2.87,15.95,-1.31
254,603198,迎驾贡酒,2020/12/31,4,2,56.93,-21.42,1986.78,0.07,12.65,34.43,13.26,4.4,-21.6
255,603197,保隆科技,2020/12/31,1,-1,0.8,-3.16,22.5,0,-7.2,1.11,10.49,-9.67,4.57
256,603195,公牛集团,2020/12/31,40,18,601.7,260.74,123523.79,7.98,10.09,-5.41,28.3,7.01,-11.24
257,603187,海容冷链,2020/12/31,45,23,2835.84,1539.32,170150.68,22.63,13.29,11.49,-6.47,2.54,-8.71
258,603186,华正新材,2020/12/31,3,-1,5.5,-320.5,179.19,0.04,-1.96,10.12,-18.49,-5.64,21.19
259,603185,上机数控,2020/12/31,19,5,98.73,-50.33,13669.63,1.26,50.66,17.61,14.21,23.62,-12.24
260,603181,皇马科技,2020/12/31,8,0,1235.71,-69.38,23824.52,3.04,-2.43,8.18,7.61,14.68,-10.84
261,603180,金牌厨柜,2020/12/31,14,9,197.12,84.52,9846.1,1.94,-10.64,1.91,1.15,8.62,6.99
262,603179,新泉股份,2020/12/31,28,-14,3632.79,-1277.38,123151.65,11.42,10.11,4.56,-4.22,5.85,-9.96
263,603167,渤海轮渡,2020/12/31,2,-2,30.85,-269.86,271.48,0.07,-5.52,3.61,-13.6,-5.01,5.39
264,603161,科华控股,2020/12/31,1,0,58.6,0,1055.97,0.44,-6.05,25.21,-3.52,-17.31,4.95
265,603160,汇顶科技,2020/12/31,24,-4,1331.67,273.85,207140.9,2.94,-6.53,-1.63,9.21,-11.9,2.82
266,603158,腾龙股份,2020/12/31,5,-1,859.56,-42.79,17449.01,3.96,-4.08,-1.55,5.42,-18.25,6.69
267,603156,养元饮品,2020/12/31,17,8,744.21,438.47,19230.44,0.59,-0.5,13.27,-7.65,-11.57,17.23
268,603136,天目湖,2020/12/31,5,-1,551.18,150.63,13972.49,4.73,-12.11,9.76,-1.91,-4.32,13.46
269,603131,上海沪工,2020/12/31,10,8,459.22,244.13,13799.43,1.56,11.71,31.16,17.21,-30.78,-5.51
270,603129,春风动力,2020/12/31,44,4,2808.55,1086.67,489220.96,20.95,26.06,-18.16,26.14,-20.3,2.8
271,603128,华贸物流,2020/12/31,14,1,10231.26,9413.74,95048.41,7.81,22.96,8.88,1.41,23.56,19.52
272,603127,昭衍新药,2020/12/31,21,10,1348.18,790.36,139010.85,5.94,13.06,-10.63,13.48,39.13,-8.11
273,603113,金能科技,2020/12/31,18,17,2158.57,2150.27,35292.59,3.01,4.62,26.33,3.18,29.47,15.85
274,603108,润达医疗,2020/12/31,6,-1,292.42,-99.58,3269.22,0.5,-11.3,-10.17,4.62,0.83,-3.76
275,603100,川仪股份,2020/12/31,2,0,141.48,97.16,1595.89,0.36,-9.1,18.22,7.76,18.14,19.33
276,603096,新经典,2020/12/31,26,19,917.07,599.56,47696.83,6.75,19.61,3.68,-13.83,-16.39,3.27
277,603086,先达股份,2020/12/31,3,-4,579.88,-199.97,9017.06,3.7,-13.2,6.78,0.03,-6.79,3.55
278,603063,禾望电气,2020/12/31,3,-3,280.55,187.15,5423.03,0.66,19.67,40.95,3.55,-17.48,16.74
279,603060,国检集团,2020/12/31,6,1,86.2,-73.8,1686.07,0.2,-3.38,7.05,0.34,13.07,2.25
280,603056,德邦股份,2020/12/31,2,-6,12.2,-758.02,154.82,0.01,-5.67,-3.62,-3.53,16.4,-2.88
281,603043,广州酒家,2020/12/31,12,3,135.57,-131.15,5250.63,0.34,4.42,1.97,4.84,4.28,-5.93
282,603039,泛微网络,2020/12/31,9,-1,483.58,-108.09,48822.16,2.26,9.63,3.11,3.91,-8.92,-0.47
283,603035,常熟汽饰,2020/12/31,1,-6,5.48,-74.94,73.87,0.02,-8.22,-4.36,18.06,-10.77,-4.72
284,603027,千禾味业,2020/12/31,5,-8,560.93,-993.36,20915.47,0.85,5.78,-4.58,2.96,20.21,-15.4
285,603026,石大胜华,2020/12/31,1,-4,6.77,-215.28,341.28,0.03,8.6,3.45,4.15,31.84,-10.95
286,603019,中科曙光,2020/12/31,27,-30,3541.86,-7981.95,120483.76,2.72,-2.7,0.17,-4.95,-13,5.16
287,603018,华设集团,2020/12/31,20,-18,4786.21,-2318.66,52408.99,8.59,-5.19,-0.71,-3.46,-1.31,12.9
288,603010,万盛股份,2020/12/31,1,-4,138.37,-3164.52,3085.65,0.4,2.44,-1.7,17.96,32.35,0.18
289,603008,喜临门,2020/12/31,14,4,4614.16,2757.66,89145.61,11.91,3.78,26.79,16.71,-2.02,16.64
290,603005,晶方科技,2020/12/31,9,5,1213.91,-187.02,78127.29,3.78,-10.37,7.68,5.19,17.16,-0.01
291,603001,奥康国际,2020/12/31,2,-2,1510,-222.88,10872,3.77,-6.49,2.14,0.19,-6.28,6.59
292,603000,人民网,2020/12/31,1,0,0.7,-49.3,11.83,0,-3.87,4.73,-10.07,3.09,10.55
293,601998,中信银行,2020/12/31,12,-1,198.64,-55.95,1015.03,0.01,-2.41,6.78,0.1,3.52,-0.43
294,601997,贵阳银行,2020/12/31,11,-3,843.56,-1593.2,6706.29,0.27,-3.11,11.21,-0.84,0.16,3.85
295,601992,金隅集团,2020/12/31,2,-5,3575.02,-187.41,10617.8,0.43,-4.24,3.38,-1.94,-9.75,5.27
296,601991,大唐发电,2020/12/31,2,0,1080,380,2581.2,0.11,1.21,6.75,-2.12,-4.62,4.08
297,601989,中国重工,2020/12/31,18,-7,49460.86,-21899.93,207241,2.71,-3.39,5.37,-4.16,-3.24,1.54
298,601988,中国银行,2020/12/31,29,-21,6023.92,-4315.21,19156.06,0.03,-3.66,5.57,-0.6,0.02,2.21
299,601985,中国核电,2020/12/31,19,17,2361.9,1790.5,11620.53,0.15,0.46,10.7,1.01,5.95,-0.44
300,601975,招商南油,2020/12/31,5,1,2558.45,2386.16,6421.71,0.71,-3.34,5.08,-4.1,-7.22,4.99
301,601968,宝钢包装,2020/12/31,3,-7,1787.77,-1268.47,14480.94,2.15,8.56,10.84,-14.2,-5.15,-6.83
302,601966,玲珑轮胎,2020/12/31,125,-29,7496.76,-844.81,263661,5.53,13.8,10.23,3.07,26.11,8.21
303,601965,中国汽研,2020/12/31,19,1,8607.39,-1279.75,127475.48,8.92,-4.93,29.58,8.06,13.5,-4.69
304,601952,苏垦农发,2020/12/31,13,-1,3215.98,913.72,45216.61,2.33,11.9,-2.32,-0.49,-18.04,6.72
305,601939,建设银行,2020/12/31,146,-4,41733.53,-9140.39,262086.59,4.35,-12.77,15.15,2.39,7.56,7.59
306,601933,永辉超市,2020/12/31,8,-17,818.13,-41764.54,5874.17,0.09,-8.23,0.81,-0.15,-4.24,7.29
307,601928,凤凰传媒,2020/12/31,10,1,8331.59,2499.93,52738.94,3.27,-8.78,0.23,-3.29,-2.41,1.22
