,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
221,603050.SH,科林电气,19.44,0.55,2.91,103027.0,200890341.0,5.93,19.97,18.85,19.1,18.89,0.8,6.35,20.84,2.32,3153364344.0,3153364344.0
222,300483.SZ,首华燃气,13.45,0.38,2.91,42648.0,56854998.4,3.06,13.45,13.05,13.13,13.07,1.58,1.63,27.59,1.25,3611799691.0,3516200453.0
223,002050.SZ,三花智控,23.02,0.65,2.91,460023.0,1054409544.81,4.47,23.2,22.2,22.39,22.37,1.0,1.3,38.09,7.11,82661815084.0,81205423914.0
224,002227.SZ,奥 特 迅,13.48,0.38,2.9,66080.0,89049836.36,6.26,13.79,12.97,13.21,13.1,1.95,2.69,-149.16,2.97,3340427172.0,3306169760.0
225,603008.SH,喜临门,33.0,0.93,2.9,61780.0,203566030.0,4.83,33.46,31.91,32.07,32.07,1.07,1.59,24.65,3.51,12784786971.0,12784786971.0
226,300567.SZ,精测电子,55.01,1.55,2.9,53273.0,293995219.86,5.42,56.38,53.48,53.65,53.46,1.69,2.58,79.89,4.9,15300723444.0,11377112585.0
227,000960.SZ,锡业股份,14.37,0.39,2.79,350099.0,501980724.77,3.51,14.56,14.07,14.12,13.98,1.94,2.13,13.18,1.47,23650174050.0,23650174050.0
228,000593.SZ,德龙汇能,8.11,0.22,2.79,181498.0,146119454.13,5.07,8.24,7.84,7.85,7.89,1.26,5.06,64.5,2.68,2908497483.0,2907080747.0
229,600985.SH,淮北矿业,13.31,0.36,2.78,167512.0,221963715.0,3.47,13.41,12.96,13.05,12.95,1.63,0.68,4.75,1.05,33022588162.0,33022588162.0
230,301068.SZ,大地海洋,28.91,0.78,2.77,8202.0,23531562.54,4.48,28.99,27.73,27.73,28.13,1.24,2.07,50.9,3.17,2428440000.0,1146168549.0
231,600740.SH,山西焦化,5.63,0.15,2.74,460030.0,257304002.0,3.1,5.65,5.48,5.49,5.48,3.04,1.8,4.0,0.99,14424742097.0,14424742097.0
232,002362.SZ,汉王科技,17.65,0.47,2.74,260654.0,455968966.92,5.88,17.89,16.88,16.88,17.18,1.44,12.6,-71.42,2.91,4314624502.0,3651754924.0
233,600230.SH,沧州大化,17.49,0.46,2.7,124908.0,218466429.0,5.58,17.96,17.01,17.06,17.03,2.27,3.03,28.61,1.85,7317042977.0,7203492650.0
234,300246.SZ,宝莱特,15.61,0.41,2.7,48408.0,75057351.0,2.96,15.67,15.22,15.25,15.2,0.87,3.49,201.58,2.04,2744065260.0,2163777512.0
235,600123.SH,兰花科创,14.54,0.38,2.68,299907.0,435162004.0,3.95,14.73,14.17,14.25,14.16,1.6,2.63,4.52,1.1,16610496000.0,16610496000.0
236,002205.SZ,国统股份,11.53,0.3,2.67,119625.0,138112462.56,6.95,11.89,11.11,11.21,11.23,1.74,6.44,-27.76,2.62,2142772419.0,2142772419.0
237,000971.SZ,ST高升,1.93,0.05,2.66,39159.0,7488075.56,2.66,1.93,1.88,1.9,1.88,1.56,0.46,-6.27,3.35,2023778943.0,1626664619.0
238,600195.SH,中牧股份,12.45,0.32,2.64,169895.0,210462902.0,4.2,12.57,12.06,12.1,12.13,1.29,1.66,23.81,2.42,12713295837.0,12713295837.0
239,002654.SZ,万润科技,4.67,0.12,2.64,325809.0,151723503.0,4.84,4.75,4.53,4.54,4.55,0.64,4.26,-52.46,2.49,3993438247.0,3569060062.0
240,600397.SH,安源煤业,3.13,0.08,2.62,295873.0,91958837.0,3.28,3.14,3.04,3.05,3.05,2.24,2.99,-12.46,6.24,3098574431.0,3098574431.0
241,002100.SZ,天康生物,8.61,0.22,2.62,482727.0,411062639.08,5.48,8.75,8.29,8.36,8.39,1.31,3.56,33.9,1.48,11660860297.0,11660455463.0
242,000151.SZ,中成股份,12.93,0.33,2.62,225853.0,290435178.69,4.29,13.04,12.5,12.73,12.6,1.13,8.47,-163.4,5.12,4362203513.0,3446413493.0
243,600403.SH,大有能源,4.72,0.12,2.61,143088.0,67166572.0,3.7,4.77,4.6,4.6,4.6,1.98,0.6,6.17,1.45,11284634537.0,11284634537.0
244,688318.SH,财富趋势,125.99,3.19,2.6,27525.0,345855835.0,4.53,127.58,122.02,126.0,122.8,0.96,9.55,131.96,3.82,11759654620.0,3630616663.0
245,688410.SH,山外山,34.98,0.88,2.58,66829.0,233199605.0,5.78,35.87,33.9,34.22,34.1,0.97,20.11,111.05,3.4,5062664460.0,1162711728.0
246,600233.SH,圆通速递,20.4,0.51,2.56,223748.0,456771538.0,4.98,20.77,19.78,19.89,19.89,1.2,0.65,17.91,2.63,70202989098.0,70202989098.0
247,603833.SH,欧派家居,126.72,3.16,2.56,16047.0,203031952.0,5.02,128.0,121.8,123.75,123.56,0.7,0.26,29.09,5.01,77191735611.0,77191735611.0
248,688235.SH,百济神州-U,148.55,3.7,2.55,17065.0,253083008.0,3.7,149.91,144.55,145.12,144.85,1.23,1.54,-14.43,6.06,200754982355.0,16407800280.0
249,301108.SZ,洁雅股份,36.58,0.91,2.55,21203.0,77895258.54,6.11,37.64,35.46,35.46,35.67,2.62,6.1,17.28,1.68,2970655142.0,1271656804.0
250,603222.SH,济民医疗,10.46,0.26,2.55,137598.0,142001478.0,5.69,10.58,10.0,10.38,10.2,0.5,2.88,45.83,3.93,4989847343.0,4989847343.0
251,000552.SZ,靖远煤电,3.23,0.08,2.54,373400.0,119791543.02,2.54,3.23,3.15,3.17,3.15,2.29,1.49,8.56,0.89,8100279501.0,8089778426.0
252,600395.SH,盘江股份,6.91,0.17,2.52,293368.0,201462113.0,2.97,6.94,6.74,6.77,6.74,2.37,1.37,6.71,1.31,14833178018.0,14833178018.0
253,000913.SZ,钱江摩托,24.5,0.6,2.51,163466.0,399210818.11,2.8,24.78,24.11,24.4,23.9,1.3,3.6,21.01,3.35,11488809500.0,11111632000.0
254,300737.SZ,科顺股份,13.52,0.33,2.5,126826.0,171924002.4,4.62,13.75,13.14,13.18,13.19,0.95,1.43,44.64,2.8,15965479037.0,12010659094.0
255,600129.SH,太极集团,31.72,0.77,2.49,60900.0,193209385.0,5.36,32.32,30.66,30.81,30.95,1.13,1.09,53.23,5.94,17664574400.0,17664574400.0
256,600348.SH,华阳股份,14.88,0.36,2.48,595032.0,882420321.0,3.24,15.02,14.55,14.59,14.52,1.66,2.47,5.41,1.51,35786400000.0,35786400000.0
257,002826.SZ,易明医药,10.78,0.26,2.47,94546.0,101695914.56,5.23,10.99,10.44,10.5,10.52,0.77,5.37,72.56,2.85,2055554655.0,1899485955.0
258,300662.SZ,科锐国际,53.51,1.29,2.47,25203.0,135051315.53,5.53,54.5,51.61,52.22,52.22,1.05,1.29,36.34,4.82,10532754024.0,10482342253.0
259,300918.SZ,南山智尚,9.98,0.24,2.46,78778.0,79042899.56,4.62,10.27,9.82,9.82,9.74,1.31,7.27,25.39,2.08,3592800000.0,1082106450.0
260,600048.SH,保利发展,16.29,0.39,2.45,916147.0,1494676638.0,4.84,16.62,15.85,15.92,15.9,1.03,0.77,10.65,0.99,194998523279.0,194998523279.0
261,002128.SZ,电投能源,12.98,0.31,2.45,178025.0,230479439.62,3.39,13.09,12.66,12.69,12.67,1.77,0.93,5.74,1.09,24942023939.0,24942016644.0
262,601918.SH,新集能源,4.21,0.1,2.43,392223.0,164047144.0,2.92,4.22,4.1,4.1,4.11,2.0,1.51,5.02,0.94,10906180978.0,10906180978.0
263,600765.SH,中航重机,30.35,0.72,2.43,296930.0,915445973.0,4.59,31.31,29.95,29.95,29.63,1.56,2.02,36.6,4.42,44676689882.0,44509422321.0
264,001309.SZ,德明利,60.33,1.43,2.43,28681.0,171441755.15,6.57,61.47,57.6,58.62,58.9,1.29,14.34,61.87,4.47,4826400000.0,1206600000.0
265,300437.SZ,清水源,18.17,0.43,2.42,79655.0,144074921.35,4.28,18.4,17.64,17.64,17.74,2.14,4.48,31.43,2.71,4707176472.0,3230818547.0
266,600085.SH,同仁堂,45.39,1.07,2.41,184961.0,845516070.0,5.28,46.66,44.32,44.32,44.32,1.06,1.35,46.55,5.47,62251035192.0,62251035192.0
267,600997.SH,开滦股份,6.9,0.16,2.37,157968.0,108301414.0,2.67,6.92,6.74,6.74,6.74,2.05,0.99,4.51,0.78,10955818972.0,10955818972.0
268,600971.SH,恒源煤电,7.37,0.17,2.36,249874.0,183166622.0,2.92,7.41,7.2,7.2,7.2,2.26,2.08,4.13,0.8,8844035995.0,8844035995.0
269,002431.SZ,棕榈股份,3.05,0.07,2.35,584970.0,177928257.64,4.7,3.1,2.96,2.98,2.98,0.87,4.01,-11.18,1.22,5529089608.0,4447843267.0
270,603090.SH,宏盛股份,34.48,0.79,2.34,34814.0,121092660.0,6.29,35.6,33.48,34.27,33.69,1.92,3.48,65.9,6.61,3448000000.0,3448000000.0
271,002121.SZ,科陆电子,10.49,0.24,2.34,487443.0,511922124.15,5.76,10.74,10.15,10.33,10.25,0.97,3.66,-107.9,22.4,14773582552.0,13956618614.0
272,601336.SH,新华保险,32.45,0.74,2.33,122503.0,396597168.0,3.53,32.82,31.7,31.94,31.71,0.76,0.59,14.63,1.01,101229287170.0,67672506583.0
273,002317.SZ,众生药业,27.63,0.63,2.33,825905.0,2287403702.47,5.96,28.5,26.89,27.15,27.0,1.04,11.68,67.85,6.2,22502730630.0,19540361640.0
274,603110.SH,东方材料,33.08,0.75,2.32,7657.0,25230283.0,4.33,33.6,32.2,32.2,32.33,0.75,0.38,325.57,10.04,6656580295.0,6656580295.0
275,000729.SZ,燕京啤酒,11.08,0.25,2.31,271087.0,300072484.29,5.82,11.35,10.72,10.87,10.83,1.32,1.08,34.83,2.24,31229415898.0,27805926107.0
276,000521.SZ,长虹美菱,4.45,0.1,2.3,460223.0,206046814.07,4.6,4.54,4.34,4.35,4.35,1.63,5.25,21.19,0.93,4583160532.0,3897349200.0
277,603565.SH,中谷物流,15.14,0.34,2.3,73954.0,112009402.0,4.46,15.42,14.76,14.77,14.8,1.13,1.7,7.34,2.45,21483077958.0,6577317482.0
278,300018.SZ,中元股份,6.68,0.15,2.3,183297.0,123099091.18,5.05,6.84,6.51,6.55,6.53,2.71,4.52,132.73,2.68,3211954660.0,2706011815.0
