,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
0,众生药业,002317.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,9.76,2022-01-28 00:00:00,9.74,2022-01-17 00:00:00,14.93,,,,False,,,,,,,,,,
1,广田集团,002482.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-13 00:00:00,2.32,2022-02-07 00:00:00,2.3,2022-01-07 00:00:00,3.03,,,,False,,,,,,,,,,
2,益盛药业,002566.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,7.68,2022-01-27 00:00:00,7.75,2022-01-06 00:00:00,10.75,,,,False,,,,,,,,,,
3,浙农股份,002758.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,10.44,2022-01-27 00:00:00,10.54,2022-01-04 00:00:00,12.57,,,,False,,,,,,,,,,
4,天禾股份,002999.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-13 00:00:00,6.59,2022-01-25 00:00:00,6.59,2022-01-19 00:00:00,7.81,,,,False,,,,,,,,,,
5,中农联合,003042.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-13 00:00:00,23.9,2022-01-07 00:00:00,24.29,2021-12-30 00:00:00,26.2,28.39,26.2,,True,,,,,2022-02-24 00:00:00,34.84,22.72,2022-04-26 00:00:00,19.25,-32.19
6,华平股份,300074.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,3.78,2022-01-27 00:00:00,3.71,2022-01-19 00:00:00,4.51,,,,False,,,,,,,,,,
7,浙江东日,600113.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-23 00:00:00,6.25,2022-01-27 00:00:00,6.18,2022-01-05 00:00:00,6.95,,,,False,,,,,,,,,,
8,廊坊发展,600149.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,5.0,2022-01-27 00:00:00,5.09,2022-01-13 00:00:00,7.28,,,,False,,,,,,,,,,
9,南京医药,600713.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,4.49,2022-01-27 00:00:00,4.41,2022-01-06 00:00:00,5.07,,,,False,,,,,,,,,,
10,苏州高新,600736.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,4.4,2022-01-27 00:00:00,4.43,2022-01-10 00:00:00,4.79,,,,False,,,,,,,,,,
11,上海医药,601607.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,18.53,2022-01-28 00:00:00,18.88,2022-01-11 00:00:00,20.69,,,,False,,,,,,,,,,
12,梅轮电梯,603321.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-13 00:00:00,6.76,2022-01-27 00:00:00,6.63,2022-01-12 00:00:00,7.3,,,,False,,,,,,,,,,
13,科前生物,688526.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-15 00:00:00,25.17,2022-02-11 00:00:00,24.7,2022-01-05 00:00:00,32.26,,,,False,,,,,,,,,,
14,中原高速,600020.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,3.14,2022-01-25 00:00:00,3.13,2022-01-11 00:00:00,3.32,,,,False,,,,,,,,,,
15,塔牌集团,002233.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,10.32,2022-01-28 00:00:00,10.19,2022-01-10 00:00:00,11.33,,,,False,,,,,,,,,,
16,保变电气,600550.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,5.03,2022-01-25 00:00:00,4.96,2021-12-20 00:00:00,6.47,,,,False,,,,,,,,,,
17,楚天高速,600035.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,3.01,2022-01-25 00:00:00,2.99,2022-01-04 00:00:00,3.23,3.36,3.23,,True,,,,,2022-04-12 00:00:00,3.49,3.87,2022-03-15 00:00:00,3,-10.71
18,农业银行,601288.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-13 00:00:00,2.93,2021-12-31 00:00:00,2.94,2021-12-28 00:00:00,2.95,3.08,2.95,,True,,,,,2022-04-06 00:00:00,3.1,0.65,2022-03-15 00:00:00,2.93,-4.87
19,渤海化学,600800.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,4.37,2022-01-27 00:00:00,4.37,2021-12-22 00:00:00,4.97,,,,False,,,,,,,,,,
20,辉隆股份,002556.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-17 00:00:00,11.15,2022-01-27 00:00:00,11.26,2022-01-06 00:00:00,12.91,,,,False,,,,,,,,,,
21,*ST海航,600221.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-28 00:00:00,1.83,2022-01-27 00:00:00,1.83,2022-01-04 00:00:00,1.9,1.98,1.9,True,True,2.0619,True,3644113.12,868820.3020512819,2022-02-15 00:00:00,2,1.01,2022-04-21 00:00:00,1.68,-15.15
22,山东黄金,600547.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-27 00:00:00,18.49,2022-01-27 00:00:00,18.56,2022-01-25 00:00:00,20.17,,,,False,,,,,,,,,,
23,中国石油,601857.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-15 00:00:00,4.83,2021-12-31 00:00:00,4.91,2021-12-23 00:00:00,5.03,5.8,5.03,,True,,,,,2022-03-07 00:00:00,5.94,2.41,2022-04-26 00:00:00,4.99,-13.97
24,华数传媒,000156.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,7.61,2022-01-27 00:00:00,7.54,2022-01-18 00:00:00,8.72,,,,False,,,,,,,,,,
25,*ST中孚,600595.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-29 00:00:00,4.07,2022-01-25 00:00:00,4.03,2022-01-11 00:00:00,4.89,,,,False,,,,,,,,,,
26,福建高速,600033.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,2.75,2022-01-25 00:00:00,2.74,2022-01-11 00:00:00,2.91,3.01,2.91,,True,,,,,2022-02-23 00:00:00,3.04,1,2022-04-26 00:00:00,2.71,-9.97
27,美达股份,000782.SZ,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-14 00:00:00,5.12,2022-01-25 00:00:00,5.12,2022-01-04 00:00:00,6.38,,,,False,,,,,,,,,,
28,柳化股份,600423.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,3.95,2022-01-27 00:00:00,3.89,2022-01-06 00:00:00,4.74,,,,False,,,,,,,,,,
29,江苏有线,600959.SH,2022-02-11 00:00:00,2022-05-10 00:00:00,True,2021-12-10 00:00:00,3.05,2022-01-27 00:00:00,3.08,2022-01-19 00:00:00,3.5,,,,False,,,,,,,,,,
