,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
0,科兴制药,688136.SH,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-27 00:00:00,24.88,2022-02-11 00:00:00,25.0,2022-02-09 00:00:00,25.77,29.69,25.77,,True,,,,,,,,,,
1,芯能科技,603105.SH,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-27 00:00:00,12.65,2022-02-11 00:00:00,12.82,2022-02-09 00:00:00,13.46,,,,False,,,,,,,,,,
2,杰瑞股份,002353.SZ,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-28 00:00:00,41.42,2022-03-16 00:00:00,41.73,2022-03-03 00:00:00,47.72,,,,False,,,,,,,,,,
3,中原环保,000544.SZ,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-27 00:00:00,6.0,2022-03-15 00:00:00,6.03,2022-03-03 00:00:00,6.72,,,,False,,,,,,,,,,
4,泰尔股份,002347.SZ,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-27 00:00:00,4.36,2022-03-15 00:00:00,4.29,2022-03-02 00:00:00,4.95,,,,False,,,,,,,,,,
5,康尼机电,603111.SH,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-27 00:00:00,5.03,2022-03-15 00:00:00,4.97,2022-03-01 00:00:00,5.45,,,,False,,,,,,,,,,
6,康惠制药,603139.SH,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-27 00:00:00,17.12,2022-03-15 00:00:00,16.82,2022-03-02 00:00:00,18.46,,,,False,,,,,,,,,,
7,瑞芯微,603893.SH,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-02-10 00:00:00,100.69,2022-03-15 00:00:00,101.08,2022-02-25 00:00:00,118.52,,,,False,,,,,,,,,,
8,亚玛顿,002623.SZ,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-02-14 00:00:00,26.17,2022-03-15 00:00:00,25.69,2022-02-28 00:00:00,30.39,,,,False,,,,,,,,,,
9,申达股份,600626.SH,2022-03-17 00:00:00,2022-04-15 00:00:00,True,2022-01-25 00:00:00,3.57,2022-03-15 00:00:00,3.52,2022-03-03 00:00:00,3.93,,,,False,,,,,,,,,,
