,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
0,301288.SZ,N清研,38.19,19.1,100.05,176147.0,531705968.0,98.27,42.88,24.12,26.8,19.09,,74.9,126.33,5.12,4124901900.0,898079439.0
1,301187.SZ,N欧圣,28.2,6.87,32.21,283126.0,692541056.0,60.57,32.04,19.12,20.01,21.33,,65.39,44.42,3.72,5149536040.0,1221039470.0
2,301163.SZ,C宏德,33.11,5.61,20.4,124909.0,371919728.0,22.98,33.22,26.9,27.5,27.5,1.12,64.57,41.15,2.59,2701776000.0,640529637.0
3,301212.SZ,C联盛,55.72,9.44,20.4,176874.0,944146848.0,47.54,68.0,46.0,47.8,46.28,1.03,69.07,67.98,5.22,6017760000.0,1426836081.0
4,300952.SZ,恒辉安防,19.66,3.28,20.02,85250.0,161153516.0,21.55,19.66,16.13,16.13,16.38,6.86,18.97,30.78,3.08,2849277658.0,883277658.0
5,301113.SZ,雅艺科技,44.63,7.44,20.01,67270.0,278303024.0,15.95,44.63,38.7,39.02,37.19,2.73,38.44,33.3,4.76,3124100000.0,781025000.0
6,301279.SZ,金道科技,30.84,5.14,20.0,68403.0,203343518.0,14.98,30.84,26.99,26.99,25.7,0.8,31.11,38.85,2.49,3084000000.0,678019991.0
7,301088.SZ,戎美股份,25.5,4.25,20.0,233776.0,572898896.0,13.46,25.5,22.64,22.8,21.25,7.41,44.62,30.39,2.34,5814000000.0,1336115187.0
8,301066.SZ,万事利,23.35,3.89,19.99,93527.0,202648969.0,19.37,23.35,19.58,19.7,19.46,7.69,30.44,46.8,4.8,3141445488.0,717531210.0
9,300879.SZ,大叶股份,17.47,2.91,19.99,78175.0,129423782.0,22.46,17.47,14.2,14.5,14.56,7.48,14.21,50.34,2.92,2795200000.0,960850000.0
10,300049.SZ,福瑞股份,14.54,2.42,19.97,317865.0,429825856.0,19.31,14.54,12.2,12.66,12.12,5.43,13.79,37.48,2.55,3824792074.0,3350659889.0
11,301120.SZ,C新特,17.91,2.83,18.77,368255.0,615899328.0,20.36,18.2,15.13,15.25,15.08,1.07,70.17,52.61,2.93,4435006197.0,939895147.0
12,300577.SZ,开润股份,17.3,2.72,18.66,154659.0,247205989.0,21.6,17.5,14.35,14.42,14.58,4.74,11.96,20.57,2.57,4148357952.0,2237570651.0
13,301148.SZ,C嘉戎,39.55,4.65,13.32,165378.0,594923520.0,25.01,39.99,31.26,31.99,34.9,1.13,69.73,30.99,2.76,4607459514.0,938036222.0
14,688052.SH,N纳芯微,259.58,29.58,12.86,125945.0,3224626016.0,15.23,275.02,240.0,250.0,230.0,,58.37,117.25,4.28,26234193120.0,5601388563.0
15,300840.SZ,酷特智能,9.96,1.07,12.04,114179.0,110804659.0,18.67,10.38,8.72,8.74,8.89,7.65,7.4,43.02,2.43,2390400000.0,1536961593.0
16,300877.SZ,金春股份,21.98,2.32,11.8,84178.0,178315939.0,15.77,22.8,19.7,19.76,19.66,7.31,14.82,25.13,1.63,2637600000.0,1248440921.0
17,301158.SZ,德石股份,23.84,2.3,10.68,102696.0,239099636.0,19.03,25.0,20.9,21.17,21.54,1.44,28.8,57.44,2.97,3584832958.0,849981133.0
18,600626.SH,申达股份,4.14,0.38,10.11,360302.0,144434850.0,10.9,4.14,3.73,3.78,3.76,0.62,4.23,47.19,1.37,4587031859.0,3528486048.0
19,600448.SH,华纺股份,4.14,0.38,10.11,1614376.0,648482992.0,12.23,4.14,3.68,3.72,3.76,3.12,25.63,187.09,1.82,2607453401.0,2607453401.0
20,600665.SH,天地源,4.36,0.4,10.1,263409.0,111488989.0,10.61,4.36,3.94,3.95,3.96,0.33,3.05,10.0,0.91,3767574192.0,3767574192.0
21,000677.SZ,恒天海龙,3.38,0.31,10.1,99418.0,33603128.0,0.0,3.38,3.38,3.38,3.07,0.76,1.15,37.54,8.0,2920245464.0,2920245464.0
22,600202.SH,哈空调,6.0,0.55,10.09,817306.0,468379280.0,15.96,6.0,5.13,5.29,5.45,5.49,21.32,34.77,2.98,2300044032.0,2300044032.0
23,600630.SH,龙头股份,6.66,0.61,10.08,478608.0,315966992.0,5.29,6.66,6.34,6.4,6.05,2.19,11.27,99.68,1.83,2829578236.0,2829578236.0
24,600526.SH,菲达环保,5.79,0.53,10.08,124800.0,70643029.0,9.32,5.79,5.3,5.36,5.26,1.63,2.28,58.1,1.51,3169473051.0,3169473051.0
25,603196.SH,日播时尚,7.65,0.7,10.07,124163.0,91869809.0,9.21,7.65,7.01,7.02,6.95,4.55,5.25,23.09,2.19,1836000000.0,1810877400.0
26,600863.SH,内蒙华电,3.39,0.31,10.06,2470969.0,812811744.0,10.06,3.39,3.08,3.12,3.08,2.07,3.79,81.02,1.88,22126149679.0,22126149679.0
27,600767.SH,运盛医疗,6.24,0.57,10.05,24241.0,15100237.0,0.71,6.24,6.2,6.2,5.67,1.18,0.71,1146.03,9.43,2127903536.0,2127279536.0
28,002561.SZ,徐家汇,8.43,0.77,10.05,211978.0,170813615.0,11.88,8.43,7.52,7.52,7.66,1.01,5.14,33.94,1.54,3504882090.0,3475558520.0
29,000785.SZ,居然之家,4.82,0.44,10.05,465160.0,220165282.0,9.13,4.82,4.42,4.52,4.38,5.08,1.69,13.54,1.64,31469957853.0,13259613073.0
30,002062.SZ,宏润建设,5.15,0.47,10.04,355490.0,179160899.0,13.03,5.15,4.54,4.62,4.68,1.52,3.67,14.21,1.48,5677875000.0,4990869130.0
31,601086.SH,国芳集团,5.81,0.53,10.04,761320.0,431031184.0,14.2,5.81,5.06,5.11,5.28,1.59,11.43,33.8,2.5,3869460000.0,3869460000.0
32,002264.SZ,新 华 都,6.14,0.56,10.04,368313.0,226107605.0,1.97,6.14,6.03,6.14,5.58,2.09,5.97,25.04,3.81,4203222223.0,3785675262.0
33,605598.SH,上海港湾,15.68,1.43,10.04,54081.0,83508199.0,10.74,15.68,14.15,14.2,14.25,1.69,12.52,30.34,1.88,2708617563.0,677273563.0
34,605055.SH,迎丰股份,7.68,0.7,10.03,78153.0,58858489.0,9.31,7.68,7.03,7.1,6.98,2.76,7.9,40.9,2.99,3379200000.0,759915786.0
35,603071.SH,物产环能,20.08,1.83,10.03,116172.0,224213951.0,12.38,20.08,17.82,18.04,18.25,1.63,11.57,11.09,2.93,11203725195.0,2016670544.0
36,600689.SH,上海三毛,9.33,0.85,10.02,373547.0,339072624.0,8.61,9.33,8.6,8.6,8.48,3.44,24.54,158.79,4.28,1875249230.0,1420064654.0
37,605138.SH,盛泰集团,14.05,1.28,10.02,30127.0,42328618.0,0.0,14.05,14.05,14.05,12.77,0.51,5.42,31.72,3.67,7805618000.0,780618000.0
38,603299.SH,苏盐井神,10.76,0.98,10.02,798690.0,825250864.0,12.47,10.76,9.54,9.54,9.78,1.2,14.28,24.88,1.92,8316689624.0,6019574400.0
39,603856.SH,东宏股份,11.64,1.06,10.02,85811.0,96687831.0,10.78,11.64,10.5,10.58,10.58,0.87,3.35,17.35,1.46,3003522744.0,2984665944.0
40,600785.SH,新华百货,13.07,1.19,10.02,63098.0,75586666.0,18.43,13.07,10.88,11.9,11.88,0.93,2.8,17.27,1.48,2949000830.0,2949000830.0
41,603619.SH,中曼石油,16.15,1.47,10.01,208150.0,315543152.0,14.85,16.15,13.97,14.7,14.68,1.9,5.2,97.67,3.28,6460001615.0,6460001615.0
42,603176.SH,汇通集团,10.22,0.93,10.01,339735.0,336411888.0,15.39,10.22,8.79,9.09,9.29,1.89,29.12,56.94,4.99,4769265200.0,1192265200.0
43,001219.SZ,青岛食品,35.28,3.21,10.01,93571.0,321306592.0,7.11,35.28,33.0,33.02,32.07,1.26,42.15,37.99,3.56,3131100000.0,783216000.0
44,600938.SH,中国海油,15.17,1.38,10.01,3576644.0,5241455872.0,8.12,15.17,14.05,14.51,13.79,0.41,23.96,10.19,1.41,716743907277.0,22646544998.0
45,603511.SH,爱慕股份,18.91,1.72,10.01,28588.0,53201584.0,9.95,18.91,17.2,17.2,17.19,3.64,7.15,21.9,1.76,7564189100.0,756589100.0
46,001209.SZ,洪兴股份,23.86,2.17,10.0,24253.0,56181697.0,7.79,23.86,22.17,22.59,21.69,5.28,10.33,23.2,1.84,2241522928.0,560387890.0
47,600982.SH,宁波能源,5.72,0.52,10.0,852492.0,469909424.0,11.35,5.72,5.13,5.16,5.2,1.43,11.26,13.5,1.67,6393634167.0,4331092429.0
48,600857.SH,宁波中百,12.65,1.15,10.0,146251.0,181841376.0,11.74,12.65,11.3,11.39,11.5,2.27,6.52,79.12,5.96,2837646975.0,2837646975.0
49,002898.SZ,赛隆药业,11.11,1.01,10.0,70655.0,73121163.0,13.86,11.11,9.71,9.9,10.1,1.88,7.0,124.27,3.27,1955360000.0,1121944028.0
50,001205.SZ,盛航股份,19.69,1.79,10.0,33722.0,64437417.0,9.44,19.69,18.0,18.06,17.9,0.44,8.01,25.86,2.56,3360479167.0,828817727.0
51,000968.SZ,蓝焰控股,12.32,1.12,10.0,1160081.0,1401945568.0,10.09,12.32,11.19,11.19,11.2,1.38,11.99,10.95,2.41,11919632771.0,11919632771.0
52,000839.SZ,中信国安,2.64,0.24,10.0,1894775.0,490728160.0,9.58,2.64,2.41,2.52,2.4,6.52,4.83,-18.82,2.16,10348341569.0,10348341569.0
53,603906.SH,龙蟠科技,31.8,2.89,10.0,270494.0,826627728.0,12.07,31.8,28.31,28.58,28.91,1.3,5.61,43.7,6.9,15330504994.0,15330504994.0
54,003041.SZ,真爱美家,21.02,1.91,9.99,18666.0,39152965.0,5.34,21.02,20.0,20.0,19.11,2.46,5.87,18.62,1.89,2102000000.0,668803850.0
55,603215.SH,比依股份,20.03,1.82,9.99,163159.0,307657504.0,12.69,20.03,17.72,18.21,18.21,1.75,34.96,31.19,4.3,3738799800.0,934699950.0
56,605555.SH,德昌股份,32.03,2.91,9.99,51516.0,158549058.0,9.65,32.03,29.22,29.22,29.12,1.02,10.3,20.24,2.65,6085059400.0,1601500000.0
57,002737.SZ,葵花药业,15.52,1.41,9.99,134222.0,203467108.0,6.17,15.52,14.65,14.65,14.11,2.13,2.3,12.86,2.44,9063680000.0,9063680000.0
58,605180.SH,华生科技,27.74,2.52,9.99,31100.0,83935595.0,9.87,27.74,25.25,25.45,25.22,4.29,12.44,15.38,2.42,2774000000.0,693500000.0
59,603209.SH,兴通股份,25.87,2.35,9.99,85968.0,218064458.0,7.1,25.87,24.2,24.2,23.52,1.22,17.19,26.42,2.71,5174000000.0,1293500000.0
60,603948.SH,建业股份,25.32,2.3,9.99,19223.0,48572610.0,2.65,25.32,24.71,25.26,23.02,0.95,2.56,7.49,2.25,4051200000.0,1900338086.0
61,603048.SH,浙江黎明,21.14,1.92,9.99,24601.0,51265214.0,9.89,21.14,19.24,19.34,19.22,0.56,6.7,26.47,2.42,3105043200.0,776260800.0
62,605003.SH,众望布艺,23.02,2.09,9.99,37524.0,84406348.0,10.8,23.02,20.76,20.76,20.93,5.88,13.65,17.41,2.42,2532200000.0,633050000.0
63,001234.SZ,泰慕士,29.96,2.72,9.99,21349.0,63960974.0,0.0,29.96,29.96,29.96,27.24,0.4,8.01,30.66,3.61,3195734332.0,798934332.0
64,603958.SH,哈森股份,6.94,0.63,9.98,67989.0,45915681.0,11.57,6.94,6.21,6.37,6.31,3.04,3.13,-86.02,1.58,1536238400.0,1508478400.0
65,605189.SH,富春染织,25.23,2.29,9.98,69150.0,171548448.0,9.55,25.23,23.04,23.08,22.94,7.07,22.16,13.53,2.1,3148704000.0,787176000.0
66,000701.SZ,厦门信达,6.17,0.56,9.98,116289.0,70741622.0,11.41,6.17,5.53,5.55,5.61,0.39,2.86,49.81,5.67,3324756180.0,2508793301.0
67,600483.SH,福能股份,11.9,1.08,9.98,317184.0,364281392.0,11.55,11.9,10.65,10.82,10.82,2.22,1.82,16.74,1.38,23259105635.0,20777468258.0
68,003011.SZ,海象新材,23.8,2.16,9.98,21694.0,48994076.0,12.48,23.8,21.1,21.7,21.64,2.46,4.04,25.2,1.92,2443688800.0,1279395275.0
69,600508.SH,上海能源,17.19,1.56,9.98,917403.0,1505255632.0,11.9,17.19,15.33,15.66,15.63,2.63,12.69,33.28,1.18,12423522420.0,12423522420.0
70,600243.SH,青海华鼎,4.52,0.41,9.98,346416.0,153865520.0,9.73,4.52,4.12,4.13,4.11,1.01,7.89,-79.04,1.74,1983602000.0,1983602000.0
71,600137.SH,浪莎股份,17.42,1.58,9.97,80552.0,138301659.0,10.98,17.42,15.68,15.68,15.84,1.23,8.29,78.75,3.25,1693530383.0,1693530383.0
72,000993.SZ,闽东电力,13.24,1.2,9.97,472262.0,601411888.0,11.05,13.24,11.91,11.91,12.04,0.9,10.74,50.47,2.98,6063277264.0,5822257853.0
73,603221.SH,爱丽家居,9.6,0.87,9.97,71494.0,67049269.0,12.14,9.6,8.54,8.68,8.73,7.1,11.77,391.85,1.61,2304000000.0,582912000.0
74,603116.SH,红蜻蜓,6.4,0.58,9.97,92359.0,58259172.0,8.59,6.4,5.9,5.99,5.82,2.96,1.6,70.75,1.12,3687685120.0,3687685120.0
75,000722.SZ,湖南发展,9.38,0.85,9.96,394170.0,346261712.0,19.11,9.38,7.75,8.45,8.53,1.21,8.49,36.36,1.4,4353804685.0,4353804685.0
76,600854.SH,春兰股份,6.18,0.56,9.96,697753.0,400376896.0,14.95,6.18,5.34,5.34,5.62,2.89,13.43,24.64,1.53,3210253765.0,3210253765.0
77,000715.SZ,中兴商业,9.05,0.82,9.96,814005.0,720280576.0,12.64,9.05,8.01,9.05,8.23,2.74,19.61,48.46,2.24,3762256407.0,3756288421.0
78,601116.SH,三江购物,11.04,1.0,9.96,383157.0,406219776.0,10.26,11.04,10.01,10.15,10.04,1.29,7.0,68.48,1.95,6046369536.0,6046369536.0
79,600101.SH,明星电力,8.06,0.73,9.96,212625.0,168095591.0,11.87,8.06,7.19,7.39,7.33,0.66,5.05,27.55,1.34,3396747320.0,3396747320.0
80,000416.SZ,民生控股,5.08,0.46,9.96,1646035.0,824698064.0,9.74,5.08,4.63,4.85,4.62,3.55,30.96,198.54,3.01,2701907190.0,2700736778.0
81,002187.SZ,广百股份,9.94,0.9,9.96,84382.0,82387583.0,12.94,9.94,8.77,8.77,9.04,0.97,2.46,26.86,1.59,6998146984.0,3403680326.0
82,002763.SZ,汇洁股份,9.61,0.87,9.95,115204.0,108338636.0,10.76,9.61,8.67,8.8,8.74,6.57,5.82,11.36,2.11,3940340250.0,1900778237.0
83,000656.SZ,金科股份,4.53,0.41,9.95,3046576.0,1341034048.0,12.62,4.53,4.01,4.14,4.12,0.98,5.74,4.01,0.67,24188912646.0,24062501529.0
84,002029.SZ,七 匹 狼,6.09,0.55,9.93,254748.0,150421640.0,9.39,6.09,5.57,5.57,5.54,5.83,3.52,19.9,0.77,4602030300.0,4407349248.0
85,002397.SZ,梦洁股份,3.78,0.34,9.88,301224.0,109343418.0,10.76,3.78,3.41,3.45,3.44,4.67,6.34,78.0,1.6,2857609855.0,1794529549.0
